,Unnamed: 0,img_name,category,beauty_scores,score,score_bag
0,"['695', '15', '8583', '8834']","['5674295171.jpg', '3621844364.jpg', '4770483577.jpg', '3182988706.jpg']","['urban', 'animals', 'animals', 'animals']","['[4, 4, 5, 5, 5]', '[4, 5, 5, 4, 5]', '[4, 4, 4, 4, 4]', '[4, 4, 3, 4, 3]']","['4', '4', '3', '3']","""4"""
1,"['9089', '8944', '10951', '79']","['459815274.jpg', '8477048781.jpg', '6188695815.jpg', '4132663175.jpg']","['animals', 'nature', 'nature', 'urban']","['[5, 5, 5, 3, 4, 3]', '[3, 3, 4, 5, 4]', '[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3]']","['3', '3', '2', '2']","""3"""
2,"['13364', '8481', '5753', '9691']","['5281666225.jpg', '5347476710.jpg', '2455857295.jpg', '6266112438.jpg']","['animals', 'people', 'nature', 'people']","['[3, 3, 3, 3, 3]', '[3, 4, 3, 3, 2]', '[3, 4, 3, 3, 4]', '[3, 3, 4, 3, 3]']","['2', '2', '2', '2']","""2"""
3,"['2579', '3682', '9756', '5200']","['3281690941.jpg', '7153599681.jpg', '97353001.jpg', '5347483266.jpg']","['people', 'urban', 'urban', 'people']","['[2, 3, 3, 2, 2]', '[2, 2, 2, 2, 2, 2]', '[2, 3, 2, 2, 2]', '[2, 3, 2, 2, 3]']","['1', '1', '1', '1']","""1"""
4,"['4906', '11189', '1083', '4365']","['3235173967.jpg', '122050933.jpg', '3050108499.jpg', '3211881282.jpg']","['animals', 'people', 'people', 'people']","['[2, 1, 2, 1, 1]', '[1, 1, 1, 2, 2, 1, 1, 1, 2, 1]', '[1, 1, 1, 1, 2]', '[1, 1, 2, 1, 1]']","['0', '0', '0', '0']","""0"""
5,"['9142', '12793', '8414', '10190']","['8214536541.jpg', '3848836999.jpg', '3642724300.jpg', '2702390464.jpg']","['animals', 'people', 'urban', 'animals']","['[5, 5, 5, 4, 5]', '[5, 5, 5, 5, 5, 4, 5, 5, 5, 3]', '[4, 5, 4, 5, 5, 5, 4, 5, 5, 5]', '[4, 4, 4, 4, 4]']","['4', '4', '4', '3']","""4"""
6,"['8546', '879', '8570', '8559']","['2322858965.jpg', '6510889859.jpg', '7689645138.jpg', '7215514058.jpg']","['people', 'people', 'urban', 'people']","['[4, 3, 4, 3, 4]', '[3, 5, 4, 3, 4]', '[4, 3, 4, 4, 4]', '[4, 3, 4, 4, 4]']","['3', '3', '3', '3']","""3"""
7,"['1444', '10884', '12184', '7740']","['466621669.jpg', '98171915.jpg', '4045733758.jpg', '5267724283.jpg']","['people', 'nature', 'animals', 'nature']","['[3, 3, 3, 3, 3]', '[3, 3, 2, 3, 3, 3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
8,"['7762', '4814', '5471', '3752']","['5108866936.jpg', '3140606459.jpg', '178446716.jpg', '5341077756.jpg']","['animals', 'animals', 'people', 'people']","['[2, 2, 2, 3, 4, 2, 3, 2, 2, 3]', '[2, 2, 3, 2, 2]', '[1, 2, 2, 2, 2, 1, 2, 2, 1, 4]', '[2, 3, 2, 3, 2]']","['1', '1', '1', '1']","""1"""
9,"['9625', '11480', '12413', '3070']","['2237820353.jpg', '3158363876.jpg', '3104660351.jpg', '6990135829.jpg']","['nature', 'animals', 'animals', 'people']","['[2, 1, 1, 1, 1]', '[1, 2, 2, 1, 1]', '[1, 1, 1, 2, 1]', '[1, 1, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
10,"['1940', '348', '3859', '11882']","['3147303453.jpg', '2413057204.jpg', '8366431153.jpg', '321514388.jpg']","['urban', 'animals', 'urban', 'animals']","['[4, 4, 5, 5, 5]', '[5, 4, 5, 4, 5, 5, 4, 4, 4, 5, 5]', '[3, 4, 3, 4, 3]', '[3, 3, 2, 4, 4, 3]']","['4', '4', '2', '2']","""4"""
11,"['4575', '730', '2111', '5245']","['8126314216.jpg', '4813477960.jpg', '4576731602.jpg', '2884521245.jpg']","['people', 'animals', 'nature', 'animals']","['[4, 4, 5, 3, 4]', '[4, 3, 4, 3, 4, 4, 4]', '[4, 3, 3, 4, 3]', '[4, 4, 4, 4, 5]']","['3', '3', '2', '3']","""3"""
12,"['4800', '7635', '12466', '2004']","['3830938481.jpg', '4705306788.jpg', '163578810.jpg', '3302857820.jpg']","['nature', 'urban', 'people', 'nature']","['[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[3, 4, 4, 3, 3]']","['2', '2', '2', '2']","""2"""
13,"['4113', '9507', '10498', '3460']","['5785673760.jpg', '4105495849.jpg', '2312039503.jpg', '4466061319.jpg']","['nature', 'urban', 'people', 'people']","['[4, 2, 2, 2, 2]', '[2, 2, 2, 2, 2, 2]', '[3, 2, 3, 2, 2]', '[2, 2, 2, 3, 2]']","['1', '1', '1', '1']","""1"""
14,"['5035', '10838', '6415', '11530']","['5836879431.jpg', '5709986596.jpg', '2894380782.jpg', '3523181182.jpg']","['people', 'urban', 'people', 'people']","['[1, 1, 1, 2, 1]', '[1, 1, 1, 1, 1]', '[1, 2, 2, 1, 1]', '[1, 1, 2, 1, 1]']","['0', '0', '0', '0']","""0"""
15,"['7852', '11765', '9194', '10863']","['8311981471.jpg', '7206464102.jpg', '2570962414.jpg', '3678135417.jpg']","['animals', 'urban', 'nature', 'urban']","['[4, 4, 5, 5, 5]', '[5, 5, 5, 5, 4]', '[3, 3, 4, 1, 3]', '[3, 3, 3, 3, 3, 3]']","['4', '4', '2', '2']","""4"""
16,"['473', '8015', '3811', '12545']","['5328693397.jpg', '7919801268.jpg', '4806370994.jpg', '7815839796.jpg']","['people', 'people', 'nature', 'urban']","['[3, 4, 4, 4, 3]', '[4, 3, 4, 5, 4]', '[4, 3, 3, 3, 3, 3, 3, 3, 4, 3]', '[4, 3, 3, 2, 3]']","['3', '3', '2', '2']","""3"""
17,"['2699', '9612', '12803', '8584']","['2847640475.jpg', '8416796708.jpg', '4125319989.jpg', '5372973612.jpg']","['animals', 'urban', 'nature', 'urban']","['[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3, 3, 4, 4, 3, 3]', '[3, 3, 4, 4, 3]', '[3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
18,"['532', '8888', '7431', '6117']","['5512058612.jpg', '4920406789.jpg', '626316219.jpg', '3922606330.jpg']","['urban', 'nature', 'animals', 'animals']","['[2, 2, 3, 3, 2]', '[2, 2, 3, 2, 2]', '[2, 3, 3, 2, 2]', '[2, 2, 2, 2, 2, 2]']","['1', '1', '1', '1']","""1"""
19,"['439', '1719', '1475', '674']","['1502768903.jpg', '2698240918.jpg', '4059345792.jpg', '3466586479.jpg']","['people', 'people', 'people', 'nature']","['[1, 2, 1, 1, 1]', '[2, 1, 1, 1, 1]', '[1, 1, 1, 1, 1]', '[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
20,"['2093', '10179', '4797', '7850']","['8110641825.jpg', '8275471588.jpg', '5268619694.jpg', '3997923570.jpg']","['urban', 'urban', 'nature', 'people']","['[4, 5, 5, 4, 5]', '[5, 5, 5, 5, 5, 5, 4, 5, 5, 5]', '[3, 4, 3, 4, 3]', '[3, 3, 3, 3, 3]']","['4', '4', '2', '2']","""4"""
21,"['6829', '9116', '312', '9889']","['5484920501.jpg', '5700103707.jpg', '4277689378.jpg', '178821720.jpg']","['animals', 'animals', 'animals', 'people']","['[4, 3, 3, 3, 3, 4, 3, 4, 4, 4]', '[4, 4, 3, 4, 4]', '[4, 3, 5, 4, 4, 5, 4]', '[4, 3, 3, 3, 3]']","['3', '3', '3', '2']","""3"""
