,Unnamed: 0,img_name,category,beauty_scores,score,score_bag
0,"['2742', '13389', '5775', '721']","['4538392419.jpg', '8251320758.jpg', '2112853846.jpg', '3681031079.jpg']","['urban', 'animals', 'urban', 'urban']","['[4, 5, 5, 5, 4]', '[5, 5, 4, 5, 5]', '[3, 3, 3, 3, 3]', '[2, 2, 2, 3, 3]']","['4', '4', '2', '1']","""4"""
1,"['11042', '8283', '10538', '11748']","['111184510.jpg', '3157508283.jpg', '8496868897.jpg', '5341486849.jpg']","['people', 'animals', 'animals', 'people']","['[4, 4, 4, 4, 3]', '[4, 4, 4, 3, 4]', '[4, 3, 3, 4, 4, 4, 4, 4]', '[3, 4, 3, 4, 3]']","['3', '3', '3', '2']","""3"""
2,"['2926', '2784', '3755', '12196']","['2379597523.jpg', '5234607583.jpg', '377105395.jpg', '3801055074.jpg']","['nature', 'urban', 'urban', 'nature']","['[4, 3, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3, 4]', '[2, 4, 2, 3, 3]']","['2', '2', '2', '2']","""2"""
3,"['11209', '10024', '13290', '4027']","['3475579719.jpg', '3296910183.jpg', '5006387764.jpg', '4207592054.jpg']","['people', 'people', 'animals', 'urban']","['[1, 2, 2, 2, 2]', '[1, 2, 2, 4, 2]', '[3, 1, 2, 2, 2]', '[2, 2, 2, 3, 2, 3]']","['1', '1', '1', '1']","""1"""
4,"['674', '11189', '6415', '5861']","['3466586479.jpg', '122050933.jpg', '2894380782.jpg', '6084968425.jpg']","['nature', 'people', 'people', 'people']","['[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', '[1, 1, 1, 2, 2, 1, 1, 1, 2, 1]', '[1, 2, 2, 1, 1]', '[1, 1, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
5,"['7724', '10771', '9157', '1503']","['6334205351.jpg', '4728968861.jpg', '2735666555.jpg', '2542182605.jpg']","['urban', 'animals', 'nature', 'nature']","['[5, 5, 5, 5, 5]', '[5, 5, 5, 4, 4]', '[4, 4, 4, 4, 4, 3, 3, 2, 3, 4]', '[2, 3, 5, 3, 3]']","['4', '4', '3', '2']","""4"""
6,"['4002', '8951', '3585', '10713']","['5629218506.jpg', '6215800007.jpg', '4839348092.jpg', '6788438603.jpg']","['animals', 'nature', 'people', 'urban']","['[3, 4, 5, 4, 4]', '[4, 4, 4, 5, 5]', '[3, 2, 2, 3, 3]', '[3, 3, 4, 2, 2, 2]']","['3', '3', '2', '2']","""3"""
7,"['1498', '6151', '100', '13266']","['7235772900.jpg', '362834544.jpg', '6101039949.jpg', '356054738.jpg']","['urban', 'urban', 'urban', 'animals']","['[4, 3, 3, 3, 3]', '[4, 3, 3, 3, 3, 3]', '[3, 4, 3, 3, 3]', '[3, 3, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
8,"['2015', '164', '3663', '9774']","['3547098490.jpg', '5481480425.jpg', '4454886217.jpg', '5252442539.jpg']","['nature', 'people', 'animals', 'animals']","['[2, 3, 1, 3, 2]', '[2, 2, 2, 2, 3]', '[2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2]', '[2, 3, 2, 2, 2, 2, 2, 3, 2, 2]']","['1', '1', '1', '1']","""1"""
9,"['3070', '9625', '4906', '11480']","['6990135829.jpg', '2237820353.jpg', '3235173967.jpg', '3158363876.jpg']","['people', 'nature', 'animals', 'animals']","['[1, 1, 1, 1, 1]', '[2, 1, 1, 1, 1]', '[2, 1, 2, 1, 1]', '[1, 2, 2, 1, 1]']","['0', '0', '0', '0']","""0"""
10,"['13358', '6187', '5418', '13074']","['5882124415.jpg', '7942552962.jpg', '2488988393.jpg', '8121240986.jpg']","['animals', 'animals', 'people', 'animals']","['[5, 5, 5, 4, 4]', '[5, 5, 4, 4, 5]', '[4, 3, 4, 4, 3, 3, 3, 3, 4, 3]', '[4, 3, 3, 3, 4]']","['4', '4', '2', '2']","""4"""
11,"['8890', '2815', '3686', '358']","['3997860032.jpg', '8266931765.jpg', '4384817853.jpg', '4525271413.jpg']","['animals', 'urban', 'animals', 'nature']","['[4, 4, 4, 4, 4, 4]', '[4, 4, 4, 4, 5]', '[4, 3, 3, 3, 4]', '[3, 3, 3, 3, 2]']","['3', '3', '2', '2']","""3"""
12,"['643', '8031', '10014', '8719']","['6451229649.jpg', '6788558164.jpg', '168382777.jpg', '3243327412.jpg']","['people', 'people', 'people', 'urban']","['[3, 2, 4, 2, 4]', '[3, 4, 3, 3, 4]', '[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3, 3, 3, 3, 4, 3]']","['2', '2', '2', '2']","""2"""
13,"['9297', '9507', '5268', '1147']","['5048555935.jpg', '4105495849.jpg', '5947246640.jpg', '2726768247.jpg']","['nature', 'urban', 'nature', 'animals']","['[2, 2, 2, 3, 2]', '[2, 2, 2, 2, 2, 2]', '[2, 3, 2, 3, 2]', '[2, 2, 3, 2, 2, 3]']","['1', '1', '1', '1']","""1"""
14,"['13271', '10838', '4365', '12413']","['6855863116.jpg', '5709986596.jpg', '3211881282.jpg', '3104660351.jpg']","['nature', 'urban', 'people', 'animals']","['[1, 1, 1, 1, 1]', '[1, 1, 1, 1, 1]', '[1, 1, 2, 1, 1]', '[1, 1, 1, 2, 1]']","['0', '0', '0', '0']","""0"""
15,"['5803', '12581', '12842', '3849']","['8350489209.jpg', '8404840723.jpg', '3948300214.jpg', '5693458398.jpg']","['animals', 'animals', 'animals', 'nature']","['[5, 5, 5, 5, 5, 5, 4, 5, 4, 5]', '[4, 4, 5, 5, 5]', '[3, 5, 4, 4, 3]', '[3, 3, 3, 3, 3, 3, 3, 4, 3, 3]']","['4', '4', '3', '2']","""4"""
16,"['8690', '4110', '5845', '4634']","['6635848707.jpg', '463246534.jpg', '884624353.jpg', '220242554.jpg']","['animals', 'urban', 'nature', 'people']","['[4, 4, 3, 4, 4]', '[4, 4, 3, 3, 5]', '[3, 3, 4, 4, 3]', '[4, 3, 3, 3, 3, 3, 3, 4, 4, 4]']","['3', '3', '2', '2']","""3"""
17,"['1270', '3029', '9642', '4936']","['4481869907.jpg', '2726214955.jpg', '6399355713.jpg', '5948590315.jpg']","['nature', 'nature', 'people', 'nature']","['[3, 2, 3, 4, 4]', '[3, 3, 3, 3, 3]', '[4, 2, 4, 3, 3]', '[3, 3, 3, 3, 4]']","['2', '2', '2', '2']","""2"""
18,"['10599', '4096', '1806', '774']","['2993554040.jpg', '128651077.jpg', '937631.jpg', '7271980.jpg']","['animals', 'nature', 'nature', 'nature']","['[3, 2, 2, 3, 2, 3, 3, 2, 2, 3]', '[2, 2, 3, 2, 2, 2, 2, 3, 3, 3]', '[3, 1, 3, 3, 1]', '[2, 2, 1, 2, 2]']","['1', '1', '1', '1']","""1"""
19,"['439', '1475', '5035', '11530']","['1502768903.jpg', '4059345792.jpg', '5836879431.jpg', '3523181182.jpg']","['people', 'people', 'people', 'people']","['[1, 2, 1, 1, 1]', '[1, 1, 1, 1, 1]', '[1, 1, 1, 2, 1]', '[1, 1, 2, 1, 1]']","['0', '0', '0', '0']","""0"""
20,"['6773', '6839', '11463', '5322']","['6246933836.jpg', '6932196859.jpg', '8035619188.jpg', '2113642114.jpg']","['animals', 'urban', 'nature', 'animals']","['[5, 4, 5, 5, 4]', '[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]', '[3, 2, 5, 3, 4, 3, 4, 4, 4, 3]', '[5, 4, 4, 3, 3, 4, 3, 3, 5, 4, 4]']","['4', '4', '3', '3']","""4"""
21,"['6027', '59', '13184', '1209']","['5913110247.jpg', '8025837677.jpg', '6982920259.jpg', '6776613293.jpg']","['urban', 'people', 'animals', 'people']","['[5, 4, 4, 4, 5]', '[5, 4, 4, 4, 3]', '[3, 3, 3, 4, 4, 3, 4]', '[3, 5, 3, 3, 4]']","['3', '3', '2', '3']","""3"""
22,"['5533', '10861', '4434', '13378']","['3420065724.jpg', '10883545.jpg', '6240338361.jpg', '8483406997.jpg']","['animals', 'people', 'urban', 'people']","['[4, 3, 3, 3, 4, 4, 3, 3, 2, 3, 3]', '[4, 4, 3, 3, 3]', '[3, 3, 2, 4, 3]', '[2, 2, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
23,"['2245', '9023', '12378', '1695']","['7305186354.jpg', '6840700257.jpg', '3133956013.jpg', '5584430423.jpg']","['people', 'urban', 'animals', 'nature']","['[2, 3, 3, 2, 2, 3, 3, 2, 2, 3]', '[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2]', '[2, 2, 2, 3, 2]', '[4, 4, 1, 2, 1]']","['1', '1', '1', '1']","""1"""
24,"['13230', '6189', '10840', '7818']","['6847649875.jpg', '4650312068.jpg', '176176998.jpg', '7416495560.jpg']","['people', 'urban', 'animals', 'animals']","['[5, 5, 5, 5, 5]', '[5, 5, 5, 4, 5]', '[4, 5, 4, 4, 4]', '[3, 3, 3, 3, 3]']","['4', '4', '3', '2']","""4"""
25,"['12799', '7116', '5080', '8903']","['4522566367.jpg', '421866373.jpg', '2364564780.jpg', '5039266955.jpg']","['nature', 'animals', 'animals', 'nature']","['[2, 4, 4, 4, 3, 3, 3, 4, 4, 4]', '[4, 5, 4, 4, 4, 5]', '[4, 4, 4, 5, 4]', '[2, 2, 4, 3, 2, 3, 4, 4, 3, 3]']","['3', '3', '3', '2']","""3"""
26,"['5853', '570', '3184', '13113']","['3315029191.jpg', '383090897.jpg', '4059216296.jpg', '6900581604.jpg']","['urban', 'nature', 'nature', 'urban']","['[2, 3, 3, 3, 3]', '[2, 4, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[4, 3, 3, 3, 4]']","['2', '2', '2', '2']","""2"""
27,"['12109', '7754', '7439', '12313']","['3844562148.jpg', '4327808040.jpg', '70991941.jpg', '4863914543.jpg']","['urban', 'urban', 'animals', 'nature']","['[2, 2, 2, 2, 3, 3]', '[2, 2, 3, 3, 3, 2]', '[2, 3, 2, 2, 2, 2, 2, 2, 2, 2]', '[3, 2, 2, 2, 3]']","['1', '1', '1', '1']","""1"""
