,Unnamed: 0,img_name,category,beauty_scores,score,score_bag
0,"['4897', '9906', '1956', '1446']","['5878299909.jpg', '7576611724.jpg', '2871011178.jpg', '6297771244.jpg']","['urban', 'animals', 'animals', 'nature']","['[5, 5, 5, 4, 4]', '[5, 4, 5, 4, 5]', '[4, 4, 4, 3, 3]', '[3, 3, 4, 3, 4]']","['4', '4', '3', '2']","""4"""
1,"['8583', '2510', '8018', '3080']","['4770483577.jpg', '7501474028.jpg', '485629997.jpg', '7166898679.jpg']","['animals', 'animals', 'nature', 'people']","['[4, 4, 4, 4, 4]', '[5, 4, 4, 3, 4]', '[3, 5, 4, 4, 4, 5, 4, 4, 4, 5]', '[4, 3, 4, 3, 3, 3, 4, 4, 3, 4]']","['3', '3', '3', '3']","""3"""
2,"['4229', '5814', '6147', '10868']","['8395761068.jpg', '1333645396.jpg', '8160717678.jpg', '6825860433.jpg']","['nature', 'animals', 'people', 'urban']","['[3, 3, 3, 4, 3]', '[3, 4, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 3, 4]']","['2', '2', '2', '2']","""2"""
3,"['2652', '4331', '4071', '468']","['7002077346.jpg', '4237104537.jpg', '373746857.jpg', '5721278601.jpg']","['nature', 'urban', 'people', 'nature']","['[2, 2, 2, 2, 2]', '[3, 2, 2, 2, 2]', '[2, 2, 2, 2, 2]', '[2, 3, 2, 2, 2]']","['1', '1', '1', '1']","""1"""
4,"['12413', '674', '7256', '10838']","['3104660351.jpg', '3466586479.jpg', '158489361.jpg', '5709986596.jpg']","['animals', 'nature', 'nature', 'urban']","['[1, 1, 1, 2, 1]', '[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', '[1, 1, 2, 2, 1]', '[1, 1, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
5,"['8183', '3632', '5180', '1642']","['3876645733.jpg', '8284880360.jpg', '12380992.jpg', '4828606804.jpg']","['urban', 'animals', 'nature', 'nature']","['[4, 4, 5, 5, 5]', '[5, 5, 5, 5, 5, 5, 4, 3, 4, 5, 4]', '[3, 3, 4, 3, 3, 5, 4, 4, 4, 4]', '[3, 4, 4, 4, 4]']","['4', '4', '3', '3']","""4"""
6,"['10977', '10904', '11193', '8399']","['3766541163.jpg', '3661162220.jpg', '3925246064.jpg', '2550786331.jpg']","['animals', 'urban', 'urban', 'animals']","['[4, 3, 4, 4, 4]', '[3, 3, 4, 3, 5, 3, 5, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[4, 4, 4, 4, 3, 4, 4, 4, 4, 3]']","['3', '3', '2', '3']","""3"""
7,"['4128', '1309', '10592', '5522']","['274134737.jpg', '6619351825.jpg', '6347234154.jpg', '3690816893.jpg']","['nature', 'animals', 'people', 'urban']","['[3, 3, 3, 3, 3, 3, 4, 3, 3, 3]', '[3, 4, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[2, 4, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
8,"['6596', '11386', '1368', '8025']","['4132416000.jpg', '185126151.jpg', '167800909.jpg', '4610633949.jpg']","['urban', 'animals', 'urban', 'nature']","['[2, 2, 3, 3, 2]', '[3, 2, 2, 2, 2]', '[1, 2, 2, 2, 2]', '[2, 2, 2, 2, 1]']","['1', '1', '1', '1']","""1"""
9,"['1475', '4906', '9625', '11189']","['4059345792.jpg', '3235173967.jpg', '2237820353.jpg', '122050933.jpg']","['people', 'animals', 'nature', 'people']","['[1, 1, 1, 1, 1]', '[2, 1, 2, 1, 1]', '[2, 1, 1, 1, 1]', '[1, 1, 1, 2, 2, 1, 1, 1, 2, 1]']","['0', '0', '0', '0']","""0"""
10,"['2420', '6501', '1911', '12347']","['8317023703.jpg', '5764568623.jpg', '4824568810.jpg', '8186571859.jpg']","['nature', 'urban', 'nature', 'animals']","['[4, 4, 5, 5, 4, 4, 5, 5, 5, 5]', '[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]', '[5, 3, 4, 4, 4]', '[3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]']","['4', '4', '3', '2']","""4"""
11,"['6522', '2379', '11553', '7315']","['7071009353.jpg', '3390179611.jpg', '5918193094.jpg', '2242476434.jpg']","['animals', 'people', 'urban', 'animals']","['[4, 4, 4, 4, 4, 4]', '[4, 4, 4, 3, 4]', '[4, 5, 3, 3, 3, 3]', '[5, 3, 4, 5, 5]']","['3', '3', '3', '3']","""3"""
12,"['4582', '6461', '169', '9320']","['8352423165.jpg', '4994108404.jpg', '6337663345.jpg', '2681793284.jpg']","['animals', 'people', 'nature', 'animals']","['[3, 3, 3, 3, 4, 2, 4, 3, 3, 3]', '[3, 3, 3, 3, 4]', '[3, 3, 3, 3, 3]', '[4, 4, 3, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
13,"['7195', '11173', '3842', '11359']","['3249099.jpg', '4161320816.jpg', '8274944911.jpg', '2906341548.jpg']","['animals', 'people', 'animals', 'animals']","['[3, 2, 3, 2, 3, 2]', '[2, 2, 2, 3, 2]', '[2, 2, 3, 2, 2]', '[3, 2, 2, 2, 2]']","['1', '1', '1', '1']","""1"""
14,"['13271', '439', '3070', '4365']","['6855863116.jpg', '1502768903.jpg', '6990135829.jpg', '3211881282.jpg']","['nature', 'people', 'people', 'people']","['[1, 1, 1, 1, 1]', '[1, 2, 1, 1, 1]', '[1, 1, 1, 1, 1]', '[1, 1, 2, 1, 1]']","['0', '0', '0', '0']","""0"""
15,"['2311', '9976', '11518', '4619']","['8454130937.jpg', '31390991.jpg', '2215123667.jpg', '8542729243.jpg']","['animals', 'animals', 'nature', 'nature']","['[4, 5, 5, 5, 4, 4, 5, 5, 5, 5]', '[5, 4, 5, 5, 4]', '[3, 3, 3, 3, 3]', '[2, 4, 3, 3, 3]']","['4', '4', '2', '2']","""4"""
16,"['8463', '1055', '5440', '8106']","['7948048402.jpg', '470270194.jpg', '8536633928.jpg', '2801821781.jpg']","['nature', 'animals', 'animals', 'nature']","['[3, 3, 5, 4, 3]', '[4, 4, 3, 4, 3]', '[3, 4, 3, 4, 4]', '[4, 3, 4, 4, 4]']","['3', '3', '3', '3']","""3"""
17,"['538', '7438', '12528', '11530']","['3222035439.jpg', '3688699994.jpg', '4803645371.jpg', '3523181182.jpg']","['animals', 'urban', 'nature', 'people']","['[3, 3, 3, 3, 3]', '[3, 3, 3, 3, 4]', '[3, 3, 3, 3, 3]', '[1, 1, 2, 1, 1]']","['2', '2', '2', '0']","""2"""
18,"['7762', '622', '2224', '6014']","['5108866936.jpg', '445835237.jpg', '3860781056.jpg', '2456518228.jpg']","['animals', 'animals', 'urban', 'people']","['[2, 2, 2, 3, 4, 2, 3, 2, 2, 3]', '[2, 2, 3, 2, 2]', '[2, 2, 2, 2, 2]', '[2, 2, 2, 2, 1]']","['1', '1', '1', '1']","""1"""
19,"['5035', '1719', '1083', '6415']","['5836879431.jpg', '2698240918.jpg', '3050108499.jpg', '2894380782.jpg']","['people', 'people', 'people', 'people']","['[1, 1, 1, 2, 1]', '[2, 1, 1, 1, 1]', '[1, 1, 1, 1, 2]', '[1, 2, 2, 1, 1]']","['0', '0', '0', '0']","""0"""
20,"['11872', '567', '5846', '2805']","['8529374813.jpg', '3582497430.jpg', '3058231341.jpg', '3387847724.jpg']","['people', 'nature', 'people', 'animals']","['[5, 4, 5, 4, 5]', '[4, 5, 5, 5, 5, 4, 5, 5, 5, 4]', '[5, 3, 4, 4, 5]', '[4, 4, 5, 4, 3]']","['4', '4', '3', '3']","""4"""
21,"['5743', '8686', '7495', '13276']","['3459338156.jpg', '218645249.jpg', '8390539405.jpg', '8198450998.jpg']","['animals', 'people', 'animals', 'people']","['[4, 3, 3, 5, 4]', '[4, 4, 4, 4, 3]', '[3, 4, 3, 3, 3]', '[4, 4, 3, 3, 3, 3, 3, 3, 3, 3]']","['3', '3', '2', '2']","""3"""
22,"['1814', '5128', '10496', '4250']","['479753940.jpg', '7835714518.jpg', '5207492324.jpg', '4020153659.jpg']","['people', 'people', 'animals', 'animals']","['[3, 3, 3, 3, 2]', '[3, 3, 3, 2, 2]', '[3, 3, 3, 3, 2]', '[3, 3, 4, 3, 3, 3, 4]']","['2', '2', '2', '2']","""2"""
23,"['2142', '4855', '5768', '3370']","['3557466757.jpg', '8545784489.jpg', '5910222830.jpg', '7975176418.jpg']","['people', 'people', 'people', 'people']","['[3, 2, 3, 2, 2]', '[3, 3, 2, 2, 2]', '[2, 2, 2, 1, 1]', '[2, 2, 2, 4, 2]']","['1', '1', '1', '1']","""1"""
24,"['6773', '4459', '12998', '10114']","['6246933836.jpg', '5626451637.jpg', '2304218043.jpg', '3844431908.jpg']","['animals', 'urban', 'people', 'urban']","['[5, 4, 5, 5, 4]', '[4, 5, 5, 4, 5]', '[4, 3, 4, 3, 4, 3, 3, 3, 2, 3]', '[3, 3, 3, 3, 3]']","['4', '4', '2', '2']","""4"""
