,img_name,subject,age,age_group,age_group_bag
163,"['067A39.JPG', '021A35.JPG', '004A28.JPG', '011A20.JPG']","['067', '021', '004', '011']","['39', '35', '28', '20']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
145,"['037A13.JPG', '072A14.JPG', '023A05.JPG', '048A10.JPG']","['037', '072', '023', '048']","['13', '14', '5', '10']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
82,"['035A08.JPG', '049A10.JPG', '016A01.JPG', '046A00.JPG']","['035', '049', '016', '046']","['8', '10', '1', '0']","['04-11', '04-11', '00-03', '00-03']","""04-11"""
54,"['001A43a.JPG', '048A49.JPG', '018A28.JPG', '058A06.JPG']","['001', '048', '018', '058']","['43', '49', '28', '6']","['41+', '41+', '25-40', '04-11']","""41+"""
140,"['037A19.JPG', '054A18.JPG', '054A17.JPG', '036A19.JPG']","['037', '054', '054', '036']","['19', '18', '17', '19']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
40,"['079A06.JPG', '030A04.JPG', '043A03.JPG', '038A11.JPG']","['079', '030', '043', '038']","['6', '4', '3', '11']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
118,"['038A10.JPG', '029A10.JPG', '065A08.JPG', '043A05.JPG']","['038', '029', '065', '043']","['10', '10', '8', '5']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
59,"['080A02.JPG', '066A02a.JPG', '068A03.JPG', '054A00.JPG']","['080', '066', '068', '054']","['2', '2', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
74,"['032A24.JPG', '026A18.JPG', '057A23.JPG', '055A23.JPG']","['032', '026', '057', '055']","['24', '18', '23', '23']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
171,"['061A29.JPG', '061A26.JPG', '059A07.JPG', '076A13.JPG']","['061', '061', '059', '076']","['29', '26', '7', '13']","['25-40', '25-40', '04-11', '12-16']","""25-40"""
9,"['056A12.JPG', '011A15.JPG', '060A07.JPG', '077A06.JPG']","['056', '011', '060', '077']","['12', '15', '7', '6']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
41,"['013A00.JPG', '051A02.JPG', '082A00.JPG', '045A03.JPG']","['013', '051', '082', '045']","['0', '2', '0', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
