,img_name,subject,age,age_group,age_group_bag
163,"['003A20.JPG', '049A17.JPG', '009A14.JPG', '070A01.JPG']","['003', '049', '009', '070']","['20', '17', '14', '1']","['17-24', '17-24', '12-16', '00-03']","""17-24"""
114,"['028A41.JPG', '005A61.JPG', '013A25.JPG', '011A05.JPG']","['028', '005', '013', '011']","['41', '61', '25', '5']","['41+', '41+', '25-40', '04-11']","""41+"""
36,"['072A45.JPG', '006A69.JPG', '048A09.JPG', '051A00.JPG']","['072', '006', '048', '051']","['45', '69', '9', '0']","['41+', '41+', '04-11', '00-03']","""41+"""
5,"['069A03.JPG', '058A03.JPG', '040A02.JPG', '065A02a.JPG']","['069', '058', '040', '065']","['3', '3', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
169,"['079A09.JPG', '009A11.JPG', '074A05.JPG', '075A05.JPG']","['079', '009', '074', '075']","['9', '11', '5', '5']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
89,"['078A02.JPG', '048A00.JPG', '074A01.JPG', '072A02.JPG']","['078', '048', '074', '072']","['2', '0', '1', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
29,"['059A02a.JPG', '066A02a.JPG', '076A00.JPG', '073A03.JPG']","['059', '066', '076', '073']","['2', '2', '0', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
106,"['073A06.JPG', '036A08.JPG', '068A04.JPG', '047A11.JPG']","['073', '036', '068', '047']","['6', '8', '4', '11']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
76,"['042A06.JPG', '069A10.JPG', '044A07.JPG', '060A10.JPG']","['042', '069', '044', '060']","['6', '10', '7', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
187,"['018A22.JPG', '064A19.JPG', '012A24.JPG', '047A18.JPG']","['018', '064', '012', '047']","['22', '19', '24', '18']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
17,"['050A03.JPG', '007A01.JPG', '054A02.JPG', '078A01.JPG']","['050', '007', '054', '078']","['3', '1', '2', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
40,"['073A07.JPG', '031A07.JPG', '022A11.JPG', '060A04.JPG']","['073', '031', '022', '060']","['7', '7', '11', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
174,"['023A29.JPG', '033A39.JPG', '041A20.JPG', '014A30.JPG']","['023', '033', '041', '014']","['29', '39', '20', '30']","['25-40', '25-40', '17-24', '25-40']","""25-40"""
66,"['039A45.JPG', '005A52.JPG', '036A00.JPG', '001A16.JPG']","['039', '005', '036', '001']","['45', '52', '0', '16']","['41+', '41+', '00-03', '12-16']","""41+"""
108,"['071A42.JPG', '013A41.JPG', '076A03.JPG', '023A21.JPG']","['071', '013', '076', '023']","['42', '41', '3', '21']","['41+', '41+', '00-03', '17-24']","""41+"""
1,"['003A35.JPG', '005A30.JPG', '080A04.JPG', '011A11.JPG']","['003', '005', '080', '011']","['35', '30', '4', '11']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
12,"['027A41.JPG', '048A54.JPG', '046A06.JPG', '003A25.JPG']","['027', '048', '046', '003']","['41', '54', '6', '25']","['41+', '41+', '04-11', '25-40']","""41+"""
102,"['003A58.JPG', '048A46.JPG', '077A09.JPG', '042A28.JPG']","['003', '048', '077', '042']","['58', '46', '9', '28']","['41+', '41+', '04-11', '25-40']","""41+"""
78,"['006A42.JPG', '005A48.JPG', '024A30.JPG', '069A05.JPG']","['006', '005', '024', '069']","['42', '48', '30', '5']","['41+', '41+', '25-40', '04-11']","""41+"""
42,"['001A43b.JPG', '034A44.JPG', '042A00.JPG', '009A09.JPG']","['001', '034', '042', '009']","['43', '44', '0', '9']","['41+', '41+', '00-03', '04-11']","""41+"""
157,"['068A10a.JPG', '063A04.JPG', '038A10.JPG', '079A06.JPG']","['068', '063', '038', '079']","['10', '4', '10', '6']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
63,"['043A13.JPG', '034A15.JPG', '016A07.JPG', '060A08.JPG']","['043', '034', '016', '060']","['13', '15', '7', '8']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
27,"['011A13.JPG', '036A15.JPG', '077A11.JPG', '059A16.JPG']","['011', '036', '077', '059']","['13', '15', '11', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
86,"['082A21.JPG', '054A19.JPG', '029A20.JPG', '038A03.JPG']","['082', '054', '029', '038']","['21', '19', '20', '3']","['17-24', '17-24', '17-24', '00-03']","""17-24"""
