,img_name,subject,age,age_group,age_group_bag
128,"['016A14.JPG', '072A14.JPG', '012A14.JPG', '078A06.JPG']","['016', '072', '012', '078']","['14', '14', '14', '6']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
164,"['008A13.JPG', '073A13.JPG', '017A12.JPG', '065A11.JPG']","['008', '073', '017', '065']","['13', '13', '12', '11']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
40,"['077A04.JPG', '029A11.JPG', '045A03.JPG', '079A01.JPG']","['077', '029', '045', '079']","['4', '11', '3', '1']","['04-11', '04-11', '00-03', '00-03']","""04-11"""
197,"['008A30.JPG', '002A36.JPG', '004A30.JPG', '026A19.JPG']","['008', '002', '004', '026']","['30', '36', '30', '19']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
56,"['035A23a.JPG', '045A17.JPG', '058A17.JPG', '064A04.JPG']","['035', '045', '058', '064']","['23', '17', '17', '4']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
197,"['008A30.JPG', '002A36.JPG', '004A30.JPG', '026A19.JPG']","['008', '002', '004', '026']","['30', '36', '30', '19']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
23,"['016A01.JPG', '008A03.JPG', '053A00.JPG', '007A01.JPG']","['016', '008', '053', '007']","['1', '3', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
136,"['034A15.JPG', '028A16.JPG', '010A05.JPG', '080A12.JPG']","['034', '028', '010', '080']","['15', '16', '5', '12']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
22,"['048A10.JPG', '016A07.JPG', '077A11.JPG', '061A04.JPG']","['048', '016', '077', '061']","['10', '7', '11', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
132,"['056A15.JPG', '016A16.JPG', '068A10a.JPG', '080A08.JPG']","['056', '016', '068', '080']","['15', '16', '10', '8']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
36,"['071A43.JPG', '006A51.JPG', '065A02a.JPG', '076A05.JPG']","['071', '006', '065', '076']","['43', '51', '2', '5']","['41+', '41+', '00-03', '04-11']","""41+"""
94,"['065A06a.JPG', '031A07.JPG', '078A04.JPG', '070A07.JPG']","['065', '031', '078', '070']","['6', '7', '4', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
51,"['059A16.JPG', '035A12.JPG', '058A04.JPG', '074A11.JPG']","['059', '035', '058', '074']","['16', '12', '4', '11']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
95,"['073A00.JPG', '039A02.JPG', '063A00.JPG', '019A00.JPG']","['073', '039', '063', '019']","['0', '2', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
195,"['007A37.JPG', '067A30.JPG', '016A19.JPG', '005A24.JPG']","['007', '067', '016', '005']","['37', '30', '19', '24']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
112,"['024A07.JPG', '060A08.JPG', '032A06.JPG', '081A10.JPG']","['024', '060', '032', '081']","['7', '8', '6', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
89,"['051A00.JPG', '011A02.JPG', '082A00.JPG', '053A01.JPG']","['051', '011', '082', '053']","['0', '2', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
101,"['034A02.JPG', '078A02.JPG', '065A02b.JPG', '082A03.JPG']","['034', '078', '065', '082']","['2', '2', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
153,"['046A06.JPG', '043A04.JPG', '039A05.JPG', '050A10.JPG']","['046', '043', '039', '050']","['6', '4', '5', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
114,"['048A49.JPG', '001A43a.JPG', '072A13.JPG', '039A17.JPG']","['048', '001', '072', '039']","['49', '43', '13', '17']","['41+', '41+', '12-16', '17-24']","""41+"""
167,"['061A19.JPG', '061A17.JPG', '045A19.JPG', '024A19.JPG']","['061', '061', '045', '024']","['19', '17', '19', '19']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
25,"['012A27.JPG', '024A30.JPG', '049A17.JPG', '034A13.JPG']","['012', '024', '049', '034']","['27', '30', '17', '13']","['25-40', '25-40', '17-24', '12-16']","""25-40"""
