,file,path,age,gender,age_bag
9541,"['285122-0.jpg', '49525-0.jpg', '292283-0.jpg', '257494-0.jpg']","['18/112/285122-0.jpg', '18/112/49525-0.jpg', '18/112/292283-0.jpg', '18/111/257494-0.jpg']","['18', '18', '18', '18']","['female', 'female', 'female', 'male']","""18"""
20329,"['181663-0.jpg', '174661-0.jpg', '22691-7.jpg', '27331-0.jpg']","['26/111/181663-0.jpg', '26/111/174661-0.jpg', '26/112/22691-7.jpg', '23/112/27331-0.jpg']","['26', '26', '26', '23']","['male', 'male', 'female', 'female']","""26"""
22438,"['182957-2.jpg', '166648-0.jpg', '24436-0.jpg', '194945-0.jpg']","['24/111/182957-2.jpg', '24/111/166648-0.jpg', '24/111/24436-0.jpg', '22/111/194945-0.jpg']","['24', '24', '24', '22']","['male', 'male', 'male', 'male']","""24"""
6055,"['99005-0.jpg', '210562-0.jpg', '257655-0.jpg', '200737-0.jpg']","['20/111/99005-0.jpg', '20/111/210562-0.jpg', '18/112/257655-0.jpg', '20/111/200737-0.jpg']","['20', '20', '18', '20']","['male', 'male', 'female', 'male']","""20"""
4719,"['132416-2.jpg', '443645-0.jpg', '51632-0.jpg', '155036-0.jpg']","['30/111/132416-2.jpg', '30/111/443645-0.jpg', '19/112/51632-0.jpg', '24/111/155036-0.jpg']","['30', '30', '19', '24']","['male', 'male', 'female', 'male']","""30"""
9906,"['442648-0.jpg', '135242-0.jpg', '173953-2.jpg', '135670-0.jpg']","['30/111/442648-0.jpg', '30/112/135242-0.jpg', '23/112/173953-2.jpg', '28/111/135670-0.jpg']","['30', '30', '23', '28']","['male', 'female', 'female', 'male']","""30"""
3479,"['243760-1.jpg', '176310-0.jpg', '30530-7.jpg', '210708-0.jpg']","['22/112/243760-1.jpg', '22/112/176310-0.jpg', '22/111/30530-7.jpg', '22/111/210708-0.jpg']","['22', '22', '22', '22']","['female', 'female', 'male', 'male']","""22"""
10000,"['155829-0.jpg', '137426-0.jpg', '165250-0.jpg', '187643-1.jpg']","['27/111/155829-0.jpg', '27/111/137426-0.jpg', '24/111/165250-0.jpg', '22/112/187643-1.jpg']","['27', '27', '24', '22']","['male', 'male', 'male', 'female']","""27"""
16596,"['142378-0.jpg', '136308-0.jpg', '19864-0.jpg', '194765-0.jpg']","['28/111/142378-0.jpg', '28/111/136308-0.jpg', '23/111/19864-0.jpg', '22/111/194765-0.jpg']","['28', '28', '23', '22']","['male', 'male', 'male', 'male']","""28"""
19198,"['161812-0.jpg', '191410-0.jpg', '38967-0.jpg', '175066-0.jpg']","['24/111/161812-0.jpg', '24/111/191410-0.jpg', '21/112/38967-0.jpg', '22/111/175066-0.jpg']","['24', '24', '21', '22']","['male', 'male', 'female', 'male']","""24"""
23687,"['145717-0.jpg', '147040-0.jpg', '13730-0.jpg', '171672-0.jpg']","['25/112/145717-0.jpg', '25/112/147040-0.jpg', '24/112/13730-0.jpg', '25/111/171672-0.jpg']","['25', '25', '24', '25']","['female', 'female', 'female', 'male']","""25"""
9467,"['12148-0.jpg', '78676-0.jpg', '193452-0.jpg', '183419-0.jpg']","['27/111/12148-0.jpg', '27/112/78676-0.jpg', '20/112/193452-0.jpg', '25/111/183419-0.jpg']","['27', '27', '20', '25']","['male', 'female', 'female', 'male']","""27"""
