,file,path,age,gender,age_bag
7045,"['59269-0.jpg', '295824-0.jpg', '290327-0.jpg', '247577-3.jpg']","['18/112/59269-0.jpg', '18/112/295824-0.jpg', '18/111/290327-0.jpg', '18/111/247577-3.jpg']","['18', '18', '18', '18']","['female', 'female', 'male', 'male']","""18"""
18134,"['77167-0.jpg', '24228-0.jpg', '84043-0.jpg', '74311-0.jpg']","['24/112/77167-0.jpg', '24/111/24228-0.jpg', '23/112/84043-0.jpg', '24/111/74311-0.jpg']","['24', '24', '23', '24']","['female', 'male', 'female', 'male']","""24"""
9747,"['221398-1.jpg', '30853-0.jpg', '258653-0.jpg', '270593-0.jpg']","['20/111/221398-1.jpg', '20/111/30853-0.jpg', '19/111/258653-0.jpg', '19/112/270593-0.jpg']","['20', '20', '19', '19']","['male', 'male', 'male', 'female']","""20"""
231,"['112153-0.jpg', '203614-0.jpg', '47850-0.jpg', '251531-0.jpg']","['20/111/112153-0.jpg', '20/111/203614-0.jpg', '18/112/47850-0.jpg', '19/112/251531-0.jpg']","['20', '20', '18', '19']","['male', 'male', 'female', 'female']","""20"""
1744,"['312318-0.jpg', '9609-1.jpg', '29135-0.jpg', '19285-0.jpg']","['28/111/312318-0.jpg', '28/112/9609-1.jpg', '23/111/29135-0.jpg', '22/111/19285-0.jpg']","['28', '28', '23', '22']","['male', 'female', 'male', 'male']","""28"""
4242,"['71418-0.jpg', '201045-0.jpg', '155832-0.jpg', '203410-0.jpg']","['26/111/71418-0.jpg', '26/112/201045-0.jpg', '25/111/155832-0.jpg', '24/112/203410-0.jpg']","['26', '26', '25', '24']","['male', 'female', 'male', 'female']","""26"""
4532,"['27960-0.jpg', '241145-0.jpg', '274883-0.jpg', '283324-0.jpg']","['22/112/27960-0.jpg', '22/111/241145-0.jpg', '21/112/274883-0.jpg', '19/112/283324-0.jpg']","['22', '22', '21', '19']","['female', 'male', 'female', 'female']","""22"""
5199,"['294406-0.jpg', '51314-1.jpg', '267957-1.jpg', '55310-0.jpg']","['18/111/294406-0.jpg', '18/111/51314-1.jpg', '18/111/267957-1.jpg', '18/111/55310-0.jpg']","['18', '18', '18', '18']","['male', 'male', 'male', 'male']","""18"""
13995,"['18869-0.jpg', '198396-1.jpg', '24526-0.jpg', '200927-0.jpg']","['23/111/18869-0.jpg', '23/112/198396-1.jpg', '21/112/24526-0.jpg', '21/111/200927-0.jpg']","['23', '23', '21', '21']","['male', 'female', 'female', 'male']","""23"""
17624,"['71314-0.jpg', '135181-0.jpg', '228850-0.jpg', '20744-0.jpg']","['30/111/71314-0.jpg', '30/112/135181-0.jpg', '22/111/228850-0.jpg', '26/111/20744-0.jpg']","['30', '30', '22', '26']","['male', 'female', 'male', 'male']","""30"""
