,file,path,age,gender,age_bag
1522,"['166542-0.jpg', '5550-1.jpg', '258307-0.jpg', '99460-0.jpg']","['29/112/166542-0.jpg', '29/111/5550-1.jpg', '19/111/258307-0.jpg', '24/112/99460-0.jpg']","['29', '29', '19', '24']","['female', 'male', 'male', 'female']","""29"""
19651,"['136866-0.jpg', '84106-0.jpg', '173547-0.jpg', '20729-0.jpg']","['27/111/136866-0.jpg', '27/111/84106-0.jpg', '24/111/173547-0.jpg', '26/111/20729-0.jpg']","['27', '27', '24', '26']","['male', 'male', 'male', 'male']","""27"""
8341,"['32163-1.jpg', '183164-0.jpg', '88851-1.jpg', '261999-0.jpg']","['22/112/32163-1.jpg', '22/111/183164-0.jpg', '21/111/88851-1.jpg', '19/112/261999-0.jpg']","['22', '22', '21', '19']","['female', 'male', 'male', 'female']","""22"""
12788,"['140881-0.jpg', '136996-0.jpg', '81561-1.jpg', '150163-0.jpg']","['29/111/140881-0.jpg', '29/112/136996-0.jpg', '22/111/81561-1.jpg', '25/112/150163-0.jpg']","['29', '29', '22', '25']","['male', 'female', 'male', 'female']","""29"""
15515,"['9135-0.jpg', '144209-0.jpg', '164467-0.jpg', '74524-0.jpg']","['26/112/9135-0.jpg', '26/111/144209-0.jpg', '23/112/164467-0.jpg', '24/111/74524-0.jpg']","['26', '26', '23', '24']","['female', 'male', 'female', 'male']","""26"""
11219,"['142638-0.jpg', '148166-0.jpg', '177736-0.jpg', '234269-0.jpg']","['26/111/142638-0.jpg', '26/111/148166-0.jpg', '22/111/177736-0.jpg', '21/112/234269-0.jpg']","['26', '26', '22', '21']","['male', 'male', 'male', 'female']","""26"""
12826,"['149302-0.jpg', '138595-0.jpg', '88993-0.jpg', '188084-0.jpg']","['27/111/149302-0.jpg', '27/111/138595-0.jpg', '24/111/88993-0.jpg', '23/111/188084-0.jpg']","['27', '27', '24', '23']","['male', 'male', 'male', 'male']","""27"""
16929,"['144419-0.jpg', '314654-0.jpg', '153948-0.jpg', '77532-0.jpg']","['28/111/144419-0.jpg', '28/111/314654-0.jpg', '25/111/153948-0.jpg', '25/111/77532-0.jpg']","['28', '28', '25', '25']","['male', 'male', 'male', 'male']","""28"""
17882,"['28796-1.jpg', '24321-1.jpg', '24906-0.jpg', '221653-1.jpg']","['23/112/28796-1.jpg', '23/112/24321-1.jpg', '22/111/24906-0.jpg', '23/111/221653-1.jpg']","['23', '23', '22', '23']","['female', 'female', 'male', 'male']","""23"""
18269,"['236495-0.jpg', '93477-0.jpg', '40238-0.jpg', '252953-0.jpg']","['20/112/236495-0.jpg', '20/112/93477-0.jpg', '20/112/40238-0.jpg', '19/111/252953-0.jpg']","['20', '20', '20', '19']","['female', 'female', 'female', 'male']","""20"""
