,file,path,age,gender,age_bag
1863,"['151203-0.jpg', '27631-0.jpg', '11417-0.jpg', '267203-1.jpg']","['26/112/151203-0.jpg', '26/111/27631-0.jpg', '25/111/11417-0.jpg', '20/112/267203-1.jpg']","['26', '26', '25', '20']","['female', 'male', 'male', 'female']","""26"""
24068,"['170833-0.jpg', '160350-0.jpg', '78082-0.jpg', '86820-0.jpg']","['24/111/170833-0.jpg', '24/112/160350-0.jpg', '24/111/78082-0.jpg', '24/111/86820-0.jpg']","['24', '24', '24', '24']","['male', 'female', 'male', 'male']","""24"""
6745,"['252633-0.jpg', '295116-0.jpg', '259340-0.jpg', '269830-5.jpg']","['19/112/252633-0.jpg', '19/112/295116-0.jpg', '19/112/259340-0.jpg', '19/112/269830-5.jpg']","['19', '19', '19', '19']","['female', 'female', 'female', 'female']","""19"""
9152,"['125484-0.jpg', '4129-0.jpg', '231443-3.jpg', '78913-0.jpg']","['30/111/125484-0.jpg', '30/111/4129-0.jpg', '21/111/231443-3.jpg', '27/111/78913-0.jpg']","['30', '30', '21', '27']","['male', 'male', 'male', 'male']","""30"""
22394,"['17318-0.jpg', '31973-0.jpg', '161002-0.jpg', '30207-0.jpg']","['24/111/17318-0.jpg', '24/111/31973-0.jpg', '24/111/161002-0.jpg', '22/112/30207-0.jpg']","['24', '24', '24', '22']","['male', 'male', 'male', 'female']","""24"""
3169,"['198055-0.jpg', '29018-0.jpg', '99455-0.jpg', '290557-0.jpg']","['20/111/198055-0.jpg', '20/112/29018-0.jpg', '19/111/99455-0.jpg', '18/111/290557-0.jpg']","['20', '20', '19', '18']","['male', 'female', 'male', 'male']","""20"""
3921,"['181920-0.jpg', '222908-0.jpg', '45866-0.jpg', '216848-0.jpg']","['22/111/181920-0.jpg', '22/112/222908-0.jpg', '20/111/45866-0.jpg', '21/112/216848-0.jpg']","['22', '22', '20', '21']","['male', 'female', 'male', 'female']","""22"""
16454,"['152823-0.jpg', '16108-0.jpg', '22139-0.jpg', '162580-0.jpg']","['25/112/152823-0.jpg', '25/111/16108-0.jpg', '23/111/22139-0.jpg', '24/111/162580-0.jpg']","['25', '25', '23', '24']","['female', 'male', 'male', 'male']","""25"""
7753,"['21855-0.jpg', '176663-0.jpg', '110190-0.jpg', '164489-1.jpg']","['25/111/21855-0.jpg', '25/112/176663-0.jpg', '20/112/110190-0.jpg', '24/111/164489-1.jpg']","['25', '25', '20', '24']","['male', 'female', 'female', 'male']","""25"""
14847,"['88963-0.jpg', '94978-0.jpg', '104294-7.jpg', '214319-0.jpg']","['24/112/88963-0.jpg', '24/111/94978-0.jpg', '21/112/104294-7.jpg', '21/111/214319-0.jpg']","['24', '24', '21', '21']","['female', 'male', 'female', 'male']","""24"""
19328,"['129620-0.jpg', '311357-0.jpg', '167716-0.jpg', '193492-0.jpg']","['30/111/129620-0.jpg', '30/111/311357-0.jpg', '25/111/167716-0.jpg', '22/111/193492-0.jpg']","['30', '30', '25', '22']","['male', 'male', 'male', 'male']","""30"""
23779,"['143245-0.jpg', '162225-0.jpg', '150824-0.jpg', '228736-0.jpg']","['27/111/143245-0.jpg', '27/111/162225-0.jpg', '25/111/150824-0.jpg', '25/112/228736-0.jpg']","['27', '27', '25', '25']","['male', 'male', 'male', 'female']","""27"""
8291,"['40204-0.jpg', '219688-2.jpg', '40673-0.jpg', '240828-0.jpg']","['20/111/40204-0.jpg', '20/112/219688-2.jpg', '20/111/40673-0.jpg', '20/111/240828-0.jpg']","['20', '20', '20', '20']","['male', 'female', 'male', 'male']","""20"""
20174,"['211254-0.jpg', '265195-0.jpg', '248355-1.jpg', '241202-0.jpg']","['20/111/211254-0.jpg', '20/111/265195-0.jpg', '20/112/248355-1.jpg', '20/112/241202-0.jpg']","['20', '20', '20', '20']","['male', 'male', 'female', 'female']","""20"""
4964,"['52885-0.jpg', '111402-1.jpg', '258021-1.jpg', '287849-1.jpg']","['19/111/52885-0.jpg', '19/112/111402-1.jpg', '19/111/258021-1.jpg', '19/112/287849-1.jpg']","['19', '19', '19', '19']","['male', 'female', 'male', 'female']","""19"""
23546,"['222457-0.jpg', '183574-0.jpg', '85494-0.jpg', '156770-0.jpg']","['25/112/222457-0.jpg', '25/111/183574-0.jpg', '25/112/85494-0.jpg', '25/111/156770-0.jpg']","['25', '25', '25', '25']","['female', 'male', 'female', 'male']","""25"""
12875,"['7299-0.jpg', '320482-0.jpg', '112521-0.jpg', '166041-0.jpg']","['28/111/7299-0.jpg', '28/111/320482-0.jpg', '20/112/112521-0.jpg', '23/111/166041-0.jpg']","['28', '28', '20', '23']","['male', 'male', 'female', 'male']","""28"""
13395,"['217807-0.jpg', '164471-1.jpg', '181931-0.jpg', '163377-1.jpg']","['24/111/217807-0.jpg', '24/111/164471-1.jpg', '23/112/181931-0.jpg', '24/112/163377-1.jpg']","['24', '24', '23', '24']","['male', 'male', 'female', 'female']","""24"""
19684,"['83710-1.jpg', '143879-0.jpg', '167263-0.jpg', '217605-0.jpg']","['26/111/83710-1.jpg', '26/111/143879-0.jpg', '24/112/167263-0.jpg', '24/111/217605-0.jpg']","['26', '26', '24', '24']","['male', 'male', 'female', 'male']","""26"""
10711,"['52438-0.jpg', '285581-0.jpg', '48925-1.jpg', '290778-0.jpg']","['18/112/52438-0.jpg', '18/112/285581-0.jpg', '18/112/48925-1.jpg', '18/111/290778-0.jpg']","['18', '18', '18', '18']","['female', 'female', 'female', 'male']","""18"""
11394,"['30317-1.jpg', '106611-0.jpg', '79269-0.jpg', '49797-0.jpg']","['21/111/30317-1.jpg', '21/112/106611-0.jpg', '21/111/79269-0.jpg', '19/112/49797-0.jpg']","['21', '21', '21', '19']","['male', 'female', 'male', 'female']","""21"""
20839,"['190405-0.jpg', '11114-2.jpg', '180412-0.jpg', '170851-0.jpg']","['26/112/190405-0.jpg', '26/111/11114-2.jpg', '23/112/180412-0.jpg', '23/111/170851-0.jpg']","['26', '26', '23', '23']","['female', 'male', 'female', 'male']","""26"""
3728,"['43078-2.jpg', '197670-0.jpg', '244012-0.jpg', '109288-0.jpg']","['20/112/43078-2.jpg', '20/111/197670-0.jpg', '20/112/244012-0.jpg', '19/112/109288-0.jpg']","['20', '20', '20', '19']","['female', 'male', 'female', 'female']","""20"""
16817,"['82280-0.jpg', '167706-0.jpg', '27954-0.jpg', '281042-0.jpg']","['22/112/82280-0.jpg', '22/111/167706-0.jpg', '22/112/27954-0.jpg', '19/112/281042-0.jpg']","['22', '22', '22', '19']","['female', 'male', 'female', 'female']","""22"""
17958,"['35175-0.jpg', '216919-0.jpg', '96191-0.jpg', '203009-0.jpg']","['21/112/35175-0.jpg', '21/111/216919-0.jpg', '21/111/96191-0.jpg', '21/112/203009-0.jpg']","['21', '21', '21', '21']","['female', 'male', 'male', 'female']","""21"""
19236,"['221023-0.jpg', '102213-0.jpg', '193903-0.jpg', '87412-0.jpg']","['23/112/221023-0.jpg', '23/112/102213-0.jpg', '21/111/193903-0.jpg', '22/111/87412-0.jpg']","['23', '23', '21', '22']","['female', 'female', 'male', 'male']","""23"""
565,"['190495-1.jpg', '21247-1.jpg', '76776-0.jpg', '87959-0.jpg']","['24/111/190495-1.jpg', '24/111/21247-1.jpg', '24/111/76776-0.jpg', '22/111/87959-0.jpg']","['24', '24', '24', '22']","['male', 'male', 'male', 'male']","""24"""
11456,"['205161-0.jpg', '284234-0.jpg', '256735-0.jpg', '260316-0.jpg']","['19/111/205161-0.jpg', '19/112/284234-0.jpg', '19/112/256735-0.jpg', '19/111/260316-0.jpg']","['19', '19', '19', '19']","['male', 'female', 'female', 'male']","""19"""
1661,"['199831-0.jpg', '250743-0.jpg', '36378-0.jpg', '34660-0.jpg']","['20/112/199831-0.jpg', '20/111/250743-0.jpg', '20/111/36378-0.jpg', '19/112/34660-0.jpg']","['20', '20', '20', '19']","['female', 'male', 'male', 'female']","""20"""
16271,"['133999-0.jpg', '156584-0.jpg', '265803-0.jpg', '106503-0.jpg']","['28/111/133999-0.jpg', '28/112/156584-0.jpg', '22/112/265803-0.jpg', '22/111/106503-0.jpg']","['28', '28', '22', '22']","['male', 'female', 'female', 'male']","""28"""
2634,"['32328-0.jpg', '233636-1.jpg', '268193-0.jpg', '243078-0.jpg']","['22/112/32328-0.jpg', '22/112/233636-1.jpg', '20/112/268193-0.jpg', '21/112/243078-0.jpg']","['22', '22', '20', '21']","['female', 'female', 'female', 'female']","""22"""
7430,"['215275-0.jpg', '175478-0.jpg', '59741-0.jpg', '219916-0.jpg']","['23/112/215275-0.jpg', '23/111/175478-0.jpg', '19/112/59741-0.jpg', '23/112/219916-0.jpg']","['23', '23', '19', '23']","['female', 'male', 'female', 'female']","""23"""
12408,"['10241-0.jpg', '8363-0.jpg', '233637-2.jpg', '144340-3.jpg']","['27/112/10241-0.jpg', '27/111/8363-0.jpg', '22/112/233637-2.jpg', '25/111/144340-3.jpg']","['27', '27', '22', '25']","['female', 'male', 'female', 'male']","""27"""
8246,"['169075-0.jpg', '191217-0.jpg', '177919-0.jpg', '188350-0.jpg']","['26/112/169075-0.jpg', '26/112/191217-0.jpg', '22/111/177919-0.jpg', '25/112/188350-0.jpg']","['26', '26', '22', '25']","['female', 'female', 'male', 'female']","""26"""
21326,"['140110-0.jpg', '142995-0.jpg', '175464-0.jpg', '162278-5.jpg']","['26/111/140110-0.jpg', '26/111/142995-0.jpg', '26/111/175464-0.jpg', '25/112/162278-5.jpg']","['26', '26', '26', '25']","['male', 'male', 'male', 'female']","""26"""
12335,"['70288-0.jpg', '7490-0.jpg', '244077-0.jpg', '206893-1.jpg']","['28/112/70288-0.jpg', '28/112/7490-0.jpg', '22/111/244077-0.jpg', '22/112/206893-1.jpg']","['28', '28', '22', '22']","['female', 'female', 'male', 'female']","""28"""
8124,"['225671-0.jpg', '284193-0.jpg', '287412-0.jpg', '277514-0.jpg']","['18/111/225671-0.jpg', '18/112/284193-0.jpg', '18/111/287412-0.jpg', '18/111/277514-0.jpg']","['18', '18', '18', '18']","['male', 'female', 'male', 'male']","""18"""
1997,"['173359-2.jpg', '18418-0.jpg', '41998-0.jpg', '201807-0.jpg']","['22/111/173359-2.jpg', '22/112/18418-0.jpg', '20/111/41998-0.jpg', '21/112/201807-0.jpg']","['22', '22', '20', '21']","['male', 'female', 'male', 'female']","""22"""
3497,"['438609-0.jpg', '131613-0.jpg', '158588-0.jpg', '96934-0.jpg']","['30/112/438609-0.jpg', '30/111/131613-0.jpg', '24/111/158588-0.jpg', '21/112/96934-0.jpg']","['30', '30', '24', '21']","['female', 'male', 'male', 'female']","""30"""
10455,"['139704-0.jpg', '154379-0.jpg', '53014-0.jpg', '92893-0.jpg']","['27/111/139704-0.jpg', '27/111/154379-0.jpg', '19/112/53014-0.jpg', '25/112/92893-0.jpg']","['27', '27', '19', '25']","['male', 'male', 'female', 'female']","""27"""
129,"['287001-0.jpg', '269249-1.jpg', '286228-0.jpg', '267730-0.jpg']","['18/112/287001-0.jpg', '18/111/269249-1.jpg', '18/112/286228-0.jpg', '18/111/267730-0.jpg']","['18', '18', '18', '18']","['female', 'male', 'female', 'male']","""18"""
9962,"['174660-0.jpg', '71621-0.jpg', '156105-1.jpg', '168547-0.jpg']","['26/111/174660-0.jpg', '26/112/71621-0.jpg', '24/112/156105-1.jpg', '24/111/168547-0.jpg']","['26', '26', '24', '24']","['male', 'female', 'female', 'male']","""26"""
5978,"['247185-0.jpg', '246748-0.jpg', '232954-0.jpg', '203200-0.jpg']","['19/111/247185-0.jpg', '19/111/246748-0.jpg', '19/111/232954-0.jpg', '19/111/203200-0.jpg']","['19', '19', '19', '19']","['male', 'male', 'male', 'male']","""19"""
22466,"['208428-1.jpg', '88554-0.jpg', '86439-0.jpg', '75259-0.jpg']","['24/111/208428-1.jpg', '24/111/88554-0.jpg', '22/112/86439-0.jpg', '24/111/75259-0.jpg']","['24', '24', '22', '24']","['male', 'male', 'female', 'male']","""24"""
7810,"['266653-1.jpg', '227392-0.jpg', '249016-0.jpg', '112435-0.jpg']","['20/111/266653-1.jpg', '20/112/227392-0.jpg', '20/111/249016-0.jpg', '19/111/112435-0.jpg']","['20', '20', '20', '19']","['male', 'female', 'male', 'male']","""20"""
3341,"['4134-1.jpg', '127363-0.jpg', '269589-0.jpg', '151948-0.jpg']","['30/111/4134-1.jpg', '30/111/127363-0.jpg', '19/112/269589-0.jpg', '26/111/151948-0.jpg']","['30', '30', '19', '26']","['male', 'male', 'female', 'male']","""30"""
18929,"['203985-0.jpg', '217688-13.jpg', '31252-1.jpg', '185630-1.jpg']","['22/112/203985-0.jpg', '22/111/217688-13.jpg', '22/111/31252-1.jpg', '22/112/185630-1.jpg']","['22', '22', '22', '22']","['female', 'male', 'male', 'female']","""22"""
16814,"['148613-0.jpg', '19579-1.jpg', '220289-0.jpg', '201768-0.jpg']","['25/111/148613-0.jpg', '25/112/19579-1.jpg', '21/112/220289-0.jpg', '25/112/201768-0.jpg']","['25', '25', '21', '25']","['male', 'female', 'female', 'female']","""25"""
8116,"['182988-0.jpg', '171139-0.jpg', '166235-0.jpg', '41697-0.jpg']","['26/112/182988-0.jpg', '26/112/171139-0.jpg', '23/111/166235-0.jpg', '23/112/41697-0.jpg']","['26', '26', '23', '23']","['female', 'female', 'male', 'female']","""26"""
6748,"['68370-0.jpg', '312061-0.jpg', '259337-0.jpg', '84496-0.jpg']","['29/111/68370-0.jpg', '29/111/312061-0.jpg', '21/112/259337-0.jpg', '25/112/84496-0.jpg']","['29', '29', '21', '25']","['male', 'male', 'female', 'female']","""29"""
23561,"['168222-0.jpg', '150705-0.jpg', '166912-0.jpg', '72479-0.jpg']","['25/111/168222-0.jpg', '25/111/150705-0.jpg', '24/112/166912-0.jpg', '24/112/72479-0.jpg']","['25', '25', '24', '24']","['male', 'male', 'female', 'female']","""25"""
17857,"['142007-0.jpg', '145770-0.jpg', '85085-0.jpg', '163871-0.jpg']","['26/111/142007-0.jpg', '26/112/145770-0.jpg', '25/111/85085-0.jpg', '26/111/163871-0.jpg']","['26', '26', '25', '26']","['male', 'female', 'male', 'male']","""26"""
18779,"['451243-0.jpg', '134267-0.jpg', '182942-0.jpg', '179200-0.jpg']","['29/112/451243-0.jpg', '29/111/134267-0.jpg', '25/111/182942-0.jpg', '25/111/179200-0.jpg']","['29', '29', '25', '25']","['female', 'male', 'male', 'male']","""29"""
12561,"['6739-0.jpg', '443713-0.jpg', '179745-1.jpg', '177422-2.jpg']","['30/111/6739-0.jpg', '30/111/443713-0.jpg', '22/111/179745-1.jpg', '24/112/177422-2.jpg']","['30', '30', '22', '24']","['male', 'male', 'male', 'female']","""30"""
2840,"['185391-2.jpg', '155108-0.jpg', '290901-0.jpg', '222063-0.jpg']","['24/112/185391-2.jpg', '24/111/155108-0.jpg', '18/111/290901-0.jpg', '21/112/222063-0.jpg']","['24', '24', '18', '21']","['female', 'male', 'male', 'female']","""24"""
4537,"['439886-0.jpg', '444036-0.jpg', '159983-0.jpg', '24816-0.jpg']","['30/111/439886-0.jpg', '30/112/444036-0.jpg', '24/111/159983-0.jpg', '24/111/24816-0.jpg']","['30', '30', '24', '24']","['male', 'female', 'male', 'male']","""30"""
12322,"['71834-1.jpg', '70209-0.jpg', '155259-0.jpg', '11827-0.jpg']","['29/112/71834-1.jpg', '29/111/70209-0.jpg', '28/111/155259-0.jpg', '25/112/11827-0.jpg']","['29', '29', '28', '25']","['female', 'male', 'male', 'female']","""29"""
14690,"['210751-0.jpg', '76426-0.jpg', '210305-3.jpg', '201471-1.jpg']","['25/111/210751-0.jpg', '25/112/76426-0.jpg', '24/111/210305-3.jpg', '23/112/201471-1.jpg']","['25', '25', '24', '23']","['male', 'female', 'male', 'female']","""25"""
2668,"['155113-0.jpg', '77536-0.jpg', '16990-0.jpg', '190356-0.jpg']","['27/111/155113-0.jpg', '27/112/77536-0.jpg', '25/111/16990-0.jpg', '22/111/190356-0.jpg']","['27', '27', '25', '22']","['male', 'female', 'male', 'male']","""27"""
2150,"['211624-0.jpg', '17264-0.jpg', '98248-0.jpg', '213690-0.jpg']","['25/111/211624-0.jpg', '25/111/17264-0.jpg', '24/112/98248-0.jpg', '20/112/213690-0.jpg']","['25', '25', '24', '20']","['male', 'male', 'female', 'female']","""25"""
18069,"['8202-6.jpg', '445173-0.jpg', '190490-0.jpg', '176475-0.jpg']","['30/111/8202-6.jpg', '30/112/445173-0.jpg', '25/111/190490-0.jpg', '25/111/176475-0.jpg']","['30', '30', '25', '25']","['male', 'female', 'male', 'male']","""30"""
13378,"['5101-0.jpg', '70521-0.jpg', '211513-0.jpg', '160276-0.jpg']","['29/111/5101-0.jpg', '29/112/70521-0.jpg', '22/111/211513-0.jpg', '26/112/160276-0.jpg']","['29', '29', '22', '26']","['male', 'female', 'male', 'female']","""29"""
2682,"['77588-0.jpg', '143906-0.jpg', '204920-0.jpg', '236085-0.jpg']","['26/112/77588-0.jpg', '26/111/143906-0.jpg', '23/111/204920-0.jpg', '20/112/236085-0.jpg']","['26', '26', '23', '20']","['female', 'male', 'male', 'female']","""26"""
18366,"['220019-0.jpg', '195373-0.jpg', '251213-1.jpg', '274592-0.jpg']","['21/111/220019-0.jpg', '21/112/195373-0.jpg', '20/111/251213-1.jpg', '19/111/274592-0.jpg']","['21', '21', '20', '19']","['male', 'female', 'male', 'male']","""21"""
2500,"['75686-8.jpg', '71704-0.jpg', '40089-8.jpg', '186594-0.jpg']","['26/111/75686-8.jpg', '26/111/71704-0.jpg', '20/112/40089-8.jpg', '23/112/186594-0.jpg']","['26', '26', '20', '23']","['male', 'male', 'female', 'female']","""26"""
14711,"['316097-1.jpg', '142867-0.jpg', '136405-0.jpg', '257830-0.jpg']","['28/111/316097-1.jpg', '28/111/142867-0.jpg', '27/111/136405-0.jpg', '20/112/257830-0.jpg']","['28', '28', '27', '20']","['male', 'male', 'male', 'female']","""28"""
5253,"['14833-1.jpg', '326586-0.jpg', '197258-1.jpg', '233535-0.jpg']","['29/112/14833-1.jpg', '29/112/326586-0.jpg', '21/111/197258-1.jpg', '21/111/233535-0.jpg']","['29', '29', '21', '21']","['female', 'female', 'male', 'male']","""29"""
3431,"['55021-0.jpg', '287170-0.jpg', '51112-1.jpg', '279664-0.jpg']","['18/111/55021-0.jpg', '18/112/287170-0.jpg', '18/111/51112-1.jpg', '18/112/279664-0.jpg']","['18', '18', '18', '18']","['male', 'female', 'male', 'female']","""18"""
