,img_name,subject,age,age_group,age_group_bag
78,"['072A45.JPG', '001A43a.JPG', '035A00.JPG', '075A05.JPG']","['072', '001', '035', '075']","['45', '43', '0', '5']","['41+', '41+', '00-03', '04-11']","""41+"""
50,"['027A22.JPG', '061A18.JPG', '052A02.JPG', '064A19.JPG']","['027', '061', '052', '064']","['22', '18', '2', '19']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
70,"['024A07.JPG', '081A04.JPG', '047A06.JPG', '059A02b.JPG']","['024', '081', '047', '059']","['7', '4', '6', '2']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
33,"['053A12.JPG', '067A14.JPG', '072A02.JPG', '073A11.JPG']","['053', '067', '072', '073']","['12', '14', '2', '11']","['12-16', '12-16', '00-03', '04-11']","""12-16"""
191,"['045A17.JPG', '033A21.JPG', '062A18.JPG', '074A07.JPG']","['045', '033', '062', '074']","['17', '21', '18', '7']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
183,"['053A18.JPG', '071A22.JPG', '047A18.JPG', '012A23.JPG']","['053', '071', '047', '012']","['18', '22', '18', '23']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
194,"['019A30.JPG', '022A25.JPG', '082A25.JPG', '012A32.JPG']","['019', '022', '082', '012']","['30', '25', '25', '32']","['25-40', '25-40', '25-40', '25-40']","""25-40"""
30,"['048A46.JPG', '005A61.JPG', '007A18.JPG', '059A07.JPG']","['048', '005', '007', '059']","['46', '61', '18', '7']","['41+', '41+', '17-24', '04-11']","""41+"""
187,"['034A21.JPG', '012A18.JPG', '051A18.JPG', '035A23a.JPG']","['034', '012', '051', '035']","['21', '18', '18', '23']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
50,"['027A22.JPG', '061A18.JPG', '052A02.JPG', '064A19.JPG']","['027', '061', '052', '064']","['22', '18', '2', '19']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
35,"['020A02.JPG', '023A03.JPG', '053A03.JPG', '058A02.JPG']","['020', '023', '053', '058']","['2', '3', '3', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
36,"['033A44.JPG', '039A45.JPG', '082A03.JPG', '027A30.JPG']","['033', '039', '082', '027']","['44', '45', '3', '30']","['41+', '41+', '00-03', '25-40']","""41+"""
23,"['074A00.JPG', '079A03.JPG', '080A01.JPG', '056A03.JPG']","['074', '079', '080', '056']","['0', '3', '1', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
160,"['035A16.JPG', '055A12.JPG', '040A16.JPG', '050A10.JPG']","['035', '055', '040', '050']","['16', '12', '16', '10']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
95,"['080A02.JPG', '058A03.JPG', '068A00.JPG', '059A02a.JPG']","['080', '058', '068', '059']","['2', '3', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
101,"['038A01.JPG', '065A03b.JPG', '054A00.JPG', '016A03.JPG']","['038', '065', '054', '016']","['1', '3', '0', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
51,"['001A14.JPG', '016A16.JPG', '070A14.JPG', '046A14.JPG']","['001', '016', '070', '046']","['14', '16', '14', '14']","['12-16', '12-16', '12-16', '12-16']","""12-16"""
33,"['053A12.JPG', '067A14.JPG', '072A02.JPG', '073A11.JPG']","['053', '067', '072', '073']","['12', '14', '2', '11']","['12-16', '12-16', '00-03', '04-11']","""12-16"""
65,"['074A02.JPG', '073A01.JPG', '030A00.JPG', '046A01.JPG']","['074', '073', '030', '046']","['2', '1', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
71,"['026A00.JPG', '022A00.JPG', '082A00.JPG', '063A00.JPG']","['026', '022', '082', '063']","['0', '0', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
131,"['037A19.JPG', '057A18.JPG', '037A17.JPG', '072A21.JPG']","['037', '057', '037', '072']","['19', '18', '17', '21']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
78,"['072A45.JPG', '001A43a.JPG', '035A00.JPG', '075A05.JPG']","['072', '001', '035', '075']","['45', '43', '0', '5']","['41+', '41+', '00-03', '04-11']","""41+"""
29,"['074A03.JPG', '068A03.JPG', '080A03.JPG', '071A00.JPG']","['074', '068', '080', '071']","['3', '3', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
29,"['074A03.JPG', '068A03.JPG', '080A03.JPG', '071A00.JPG']","['074', '068', '080', '071']","['3', '3', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
56,"['023A22.JPG', '052A19.JPG', '072A11.JPG', '079A02.JPG']","['023', '052', '072', '079']","['22', '19', '11', '2']","['17-24', '17-24', '04-11', '00-03']","""17-24"""
24,"['006A42.JPG', '003A60.JPG', '067A21.JPG', '038A13.JPG']","['006', '003', '067', '038']","['42', '60', '21', '13']","['41+', '41+', '17-24', '12-16']","""41+"""
167,"['050A18.JPG', '015A17.JPG', '068A09.JPG', '052A17.JPG']","['050', '015', '068', '052']","['18', '17', '9', '17']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
82,"['066A09.JPG', '078A11.JPG', '043A05.JPG', '026A02.JPG']","['066', '078', '043', '026']","['9', '11', '5', '2']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
15,"['039A13.JPG', '020A16.JPG', '015A00.JPG', '038A04.JPG']","['039', '020', '015', '038']","['13', '16', '0', '4']","['12-16', '12-16', '00-03', '04-11']","""12-16"""
24,"['006A42.JPG', '003A60.JPG', '067A21.JPG', '038A13.JPG']","['006', '003', '067', '038']","['42', '60', '21', '13']","['41+', '41+', '17-24', '12-16']","""41+"""
178,"['082A27.JPG', '067A26.JPG', '028A18.JPG', '081A07.JPG']","['082', '067', '028', '081']","['27', '26', '18', '7']","['25-40', '25-40', '17-24', '04-11']","""25-40"""
42,"['062A45.JPG', '006A55.JPG', '059A16.JPG', '070A09.JPG']","['062', '006', '059', '070']","['45', '55', '16', '9']","['41+', '41+', '12-16', '04-11']","""41+"""
112,"['054A11.JPG', '080A07.JPG', '017A05.JPG', '077A01.JPG']","['054', '080', '017', '077']","['11', '7', '5', '1']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
171,"['050A22.JPG', '007A22.JPG', '076A11.JPG', '012A24.JPG']","['050', '007', '076', '012']","['22', '22', '11', '24']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
52,"['013A08.JPG', '040A09.JPG', '042A00.JPG', '017A07.JPG']","['013', '040', '042', '017']","['8', '9', '0', '7']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
153,"['052A07.JPG', '031A07.JPG', '065A07b.JPG', '080A06.JPG']","['052', '031', '065', '080']","['7', '7', '7', '6']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
52,"['013A08.JPG', '040A09.JPG', '042A00.JPG', '017A07.JPG']","['013', '040', '042', '017']","['8', '9', '0', '7']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
28,"['072A07.JPG', '060A05.JPG', '029A11.JPG', '053A04.JPG']","['072', '060', '029', '053']","['7', '5', '11', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
159,"['035A18.JPG', '052A20.JPG', '027A16.JPG', '003A23.JPG']","['035', '052', '027', '003']","['18', '20', '16', '23']","['17-24', '17-24', '12-16', '17-24']","""17-24"""
94,"['079A06.JPG', '065A07a.JPG', '073A08.JPG', '001A08.JPG']","['079', '065', '073', '001']","['6', '7', '8', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
35,"['020A02.JPG', '023A03.JPG', '053A03.JPG', '058A02.JPG']","['020', '023', '053', '058']","['2', '3', '3', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
96,"['028A41.JPG', '039A50.JPG', '029A31.JPG', '020A30.JPG']","['028', '039', '029', '020']","['41', '50', '31', '30']","['41+', '41+', '25-40', '25-40']","""41+"""
18,"['004A51.JPG', '004A63.JPG', '074A09.JPG', '035A09.JPG']","['004', '004', '074', '035']","['51', '63', '9', '9']","['41+', '41+', '04-11', '04-11']","""41+"""
71,"['026A00.JPG', '022A00.JPG', '082A00.JPG', '063A00.JPG']","['026', '022', '082', '063']","['0', '0', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
119,"['066A00.JPG', '043A03.JPG', '027A02.JPG', '073A00.JPG']","['066', '043', '027', '073']","['0', '3', '2', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
169,"['001A05.JPG', '080A04.JPG', '074A10.JPG', '077A11.JPG']","['001', '080', '074', '077']","['5', '4', '10', '11']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
173,"['021A06.JPG', '076A08.JPG', '069A06.JPG', '065A04.JPG']","['021', '076', '069', '065']","['6', '8', '6', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
50,"['027A22.JPG', '061A18.JPG', '052A02.JPG', '064A19.JPG']","['027', '061', '052', '064']","['22', '18', '2', '19']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
