,img_name,subject,age,age_group,age_group_bag
175,"['028A26.JPG', '032A33.JPG', '024A19.JPG', '063A04.JPG']","['028', '032', '024', '063']","['26', '33', '19', '4']","['25-40', '25-40', '17-24', '04-11']","""25-40"""
3,"['023A14.JPG', '043A13.JPG', '073A01.JPG', '009A13.JPG']","['023', '043', '073', '009']","['14', '13', '1', '13']","['12-16', '12-16', '00-03', '12-16']","""12-16"""
61,"['012A25.JPG', '030A26.JPG', '035A21.JPG', '075A07.JPG']","['012', '030', '035', '075']","['25', '26', '21', '7']","['25-40', '25-40', '17-24', '04-11']","""25-40"""
93,"['016A12.JPG', '014A16.JPG', '080A09.JPG', '054A00.JPG']","['016', '014', '080', '054']","['12', '16', '9', '0']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
71,"['079A01.JPG', '071A00.JPG', '080A02.JPG', '077A02.JPG']","['079', '071', '080', '077']","['1', '0', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
90,"['011A42.JPG', '004A51.JPG', '001A40.JPG', '002A29.JPG']","['011', '004', '001', '002']","['42', '51', '40', '29']","['41+', '41+', '25-40', '25-40']","""41+"""
129,"['031A06.JPG', '037A06.JPG', '031A07.JPG', '077A08.JPG']","['031', '037', '031', '077']","['6', '6', '7', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
54,"['013A44.JPG', '072A45.JPG', '012A30.JPG', '018A29.JPG']","['013', '072', '012', '018']","['44', '45', '30', '29']","['41+', '41+', '25-40', '25-40']","""41+"""
26,"['045A18.JPG', '029A23.JPG', '076A13.JPG', '049A07.JPG']","['045', '029', '076', '049']","['18', '23', '13', '7']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
76,"['049A05.JPG', '034A11.JPG', '024A00.JPG', '040A05.JPG']","['049', '034', '024', '040']","['5', '11', '0', '5']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
178,"['074A06.JPG', '029A10.JPG', '073A04.JPG', '080A04.JPG']","['074', '029', '073', '080']","['6', '10', '4', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
65,"['009A03.JPG', '035A00.JPG', '054A02.JPG', '052A02.JPG']","['009', '035', '054', '052']","['3', '0', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
35,"['081A01.JPG', '009A00.JPG', '070A02.JPG', '080A03.JPG']","['081', '009', '070', '080']","['1', '0', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
162,"['074A04.JPG', '056A06.JPG', '031A04.JPG', '037A08.JPG']","['074', '056', '031', '037']","['4', '6', '4', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
160,"['041A19.JPG', '057A23.JPG', '067A14.JPG', '034A15.JPG']","['041', '057', '067', '034']","['19', '23', '14', '15']","['17-24', '17-24', '12-16', '12-16']","""17-24"""
172,"['005A24.JPG', '009A22a.JPG', '055A06.JPG', '065A04.JPG']","['005', '009', '055', '065']","['24', '22', '6', '4']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
47,"['026A00.JPG', '053A02.JPG', '073A02.JPG', '051A02.JPG']","['026', '053', '073', '051']","['0', '2', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
88,"['055A05.JPG', '066A11.JPG', '033A02.JPG', '072A11.JPG']","['055', '066', '033', '072']","['5', '11', '2', '11']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
187,"['007A39.JPG', '005A35.JPG', '025A23.JPG', '052A19.JPG']","['007', '005', '025', '052']","['39', '35', '23', '19']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
30,"['033A44.JPG', '071A44.JPG', '066A08.JPG', '042A18.JPG']","['033', '071', '066', '042']","['44', '44', '8', '18']","['41+', '41+', '04-11', '17-24']","""41+"""
87,"['053A12.JPG', '068A13.JPG', '065A07a.JPG', '030A10.JPG']","['053', '068', '065', '030']","['12', '13', '7', '10']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
158,"['069A07.JPG', '070A09.JPG', '044A07.JPG', '012A07.JPG']","['069', '070', '044', '012']","['7', '9', '7', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
181,"['059A12.JPG', '002A12.JPG', '061A15.JPG', '049A16.JPG']","['059', '002', '061', '049']","['12', '12', '15', '16']","['12-16', '12-16', '12-16', '12-16']","""12-16"""
63,"['078A15.JPG', '048A16.JPG', '053A06.JPG', '078A06.JPG']","['078', '048', '053', '078']","['15', '16', '6', '6']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
6,"['071A45.JPG', '027A41.JPG', '012A34.JPG', '076A07.JPG']","['071', '027', '012', '076']","['45', '41', '34', '7']","['41+', '41+', '25-40', '04-11']","""41+"""
12,"['003A47.JPG', '048A54.JPG', '008A31.JPG', '053A10.JPG']","['003', '048', '008', '053']","['47', '54', '31', '10']","['41+', '41+', '25-40', '04-11']","""41+"""
34,"['053A08.JPG', '026A07.JPG', '035A08.JPG', '002A07.JPG']","['053', '026', '035', '002']","['8', '7', '8', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
101,"['038A01.JPG', '036A00.JPG', '074A00.JPG', '009A01.JPG']","['038', '036', '074', '009']","['1', '0', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
166,"['060A08.JPG', '068A11.JPG', '024A07.JPG', '077A03.JPG']","['060', '068', '024', '077']","['8', '11', '7', '3']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
18,"['071A43.JPG', '045A43.JPG', '073A11.JPG', '013A00.JPG']","['071', '045', '073', '013']","['43', '43', '11', '0']","['41+', '41+', '04-11', '00-03']","""41+"""
25,"['006A40.JPG', '072A29.JPG', '036A01.JPG', '079A04.JPG']","['006', '072', '036', '079']","['40', '29', '1', '4']","['25-40', '25-40', '00-03', '04-11']","""25-40"""
141,"['022A14.JPG', '008A16.JPG', '077A04.JPG', '041A06.JPG']","['022', '008', '077', '041']","['14', '16', '4', '6']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
27,"['054A13.JPG', '008A12.JPG', '077A14.JPG', '040A06.JPG']","['054', '008', '077', '040']","['13', '12', '14', '6']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
144,"['055A23.JPG', '030A17.JPG', '063A18.JPG', '040A09.JPG']","['055', '030', '063', '040']","['23', '17', '18', '9']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
2,"['038A17.JPG', '035A23a.JPG', '069A03.JPG', '015A19.JPG']","['038', '035', '069', '015']","['17', '23', '3', '19']","['17-24', '17-24', '00-03', '17-24']","""17-24"""
76,"['049A05.JPG', '034A11.JPG', '024A00.JPG', '040A05.JPG']","['049', '034', '024', '040']","['5', '11', '0', '5']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
15,"['014A14.JPG', '038A13.JPG', '066A09.JPG', '010A09.JPG']","['014', '038', '066', '010']","['14', '13', '9', '9']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
31,"['001A29.JPG', '002A31.JPG', '055A14.JPG', '018A11.JPG']","['001', '002', '055', '018']","['29', '31', '14', '11']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
153,"['044A13.JPG', '017A12.JPG', '076A12.JPG', '011A15.JPG']","['044', '017', '076', '011']","['13', '12', '12', '15']","['12-16', '12-16', '12-16', '12-16']","""12-16"""
160,"['041A19.JPG', '057A23.JPG', '067A14.JPG', '034A15.JPG']","['041', '057', '067', '034']","['19', '23', '14', '15']","['17-24', '17-24', '12-16', '12-16']","""17-24"""
8,"['045A19.JPG', '047A18.JPG', '002A03.JPG', '062A16.JPG']","['045', '047', '002', '062']","['19', '18', '3', '16']","['17-24', '17-24', '00-03', '12-16']","""17-24"""
188,"['051A24.JPG', '003A18.JPG', '032A20.JPG', '039A10.JPG']","['051', '003', '032', '039']","['24', '18', '20', '10']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
88,"['055A05.JPG', '066A11.JPG', '033A02.JPG', '072A11.JPG']","['055', '066', '033', '072']","['5', '11', '2', '11']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
66,"['003A60.JPG', '062A47.JPG', '075A10.JPG', '062A35.JPG']","['003', '062', '075', '062']","['60', '47', '10', '35']","['41+', '41+', '04-11', '25-40']","""41+"""
