,img_name,subject,age,age_group,age_group_bag
162,"['024A18.JPG', '020A18.JPG', '073A06.JPG', '008A21.JPG']","['024', '020', '073', '008']","['18', '18', '6', '21']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
138,"['003A18.JPG', '037A17.JPG', '057A07.JPG', '081A05.JPG']","['003', '037', '057', '081']","['18', '17', '7', '5']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
62,"['028A20.JPG', '047A20.JPG', '052A17.JPG', '059A14.JPG']","['028', '047', '052', '059']","['20', '20', '17', '14']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
8,"['038A17.JPG', '045A17.JPG', '065A06b.JPG', '058A10.JPG']","['038', '045', '065', '058']","['17', '17', '6', '10']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
7,"['003A25.JPG', '045A25.JPG', '023A29.JPG', '070A03.JPG']","['003', '045', '023', '070']","['25', '25', '29', '3']","['25-40', '25-40', '25-40', '00-03']","""25-40"""
93,"['012A14.JPG', '040A14.JPG', '055A05.JPG', '075A00.JPG']","['012', '040', '055', '075']","['14', '14', '5', '0']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
142,"['039A19.JPG', '001A18.JPG', '081A07.JPG', '048A10.JPG']","['039', '001', '081', '048']","['19', '18', '7', '10']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
42,"['004A63.JPG', '005A49.JPG', '001A22.JPG', '040A09.JPG']","['004', '005', '001', '040']","['63', '49', '22', '9']","['41+', '41+', '17-24', '04-11']","""41+"""
109,"['006A28.JPG', '061A32.JPG', '012A25.JPG', '032A08.JPG']","['006', '061', '012', '032']","['28', '32', '25', '8']","['25-40', '25-40', '25-40', '04-11']","""25-40"""
131,"['013A00.JPG', '021A03.JPG', '076A03.JPG', '066A03.JPG']","['013', '021', '076', '066']","['0', '3', '3', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
23,"['053A01.JPG', '007A01.JPG', '076A00.JPG', '026A00.JPG']","['053', '007', '076', '026']","['1', '1', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
37,"['012A30.JPG', '007A38.JPG', '042A01.JPG', '060A08.JPG']","['012', '007', '042', '060']","['30', '38', '1', '8']","['25-40', '25-40', '00-03', '04-11']","""25-40"""
