,img_name,subject,age,age_group,age_group_bag
115,"['025A28.JPG', '072A25.JPG', '019A15.JPG', '036A05.JPG']","['025', '072', '019', '036']","['28', '25', '15', '5']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
124,"['051A08.JPG', '016A07.JPG', '013A08.JPG', '075A10.JPG']","['051', '016', '013', '075']","['8', '7', '8', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
125,"['054A00.JPG', '063A00.JPG', '065A02b.JPG', '038A01.JPG']","['054', '063', '065', '038']","['0', '0', '2', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
70,"['058A05.JPG', '029A11.JPG', '064A04.JPG', '081A07.JPG']","['058', '029', '064', '081']","['5', '11', '4', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
32,"['071A22.JPG', '021A18.JPG', '005A24.JPG', '058A03.JPG']","['071', '021', '005', '058']","['22', '18', '24', '3']","['17-24', '17-24', '17-24', '00-03']","""17-24"""
1,"['017A26.JPG', '012A34.JPG', '061A04.JPG', '009A16b.JPG']","['017', '012', '061', '009']","['26', '34', '4', '16']","['25-40', '25-40', '04-11', '12-16']","""25-40"""
38,"['023A21.JPG', '019A23.JPG', '002A05.JPG', '036A03.JPG']","['023', '019', '002', '036']","['21', '23', '5', '3']","['17-24', '17-24', '04-11', '00-03']","""17-24"""
16,"['079A04.JPG', '074A10.JPG', '073A08.JPG', '040A07.JPG']","['079', '074', '073', '040']","['4', '10', '8', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
33,"['009A16a.JPG', '076A16.JPG', '009A11.JPG', '075A07.JPG']","['009', '076', '009', '075']","['16', '16', '11', '7']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
141,"['045A06.JPG', '076A08.JPG', '021A05.JPG', '020A08.JPG']","['045', '076', '021', '020']","['6', '8', '5', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
61,"['034A39.JPG', '047A33.JPG', '016A10.JPG', '001A10.JPG']","['034', '047', '016', '001']","['39', '33', '10', '10']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
177,"['021A06.JPG', '040A06.JPG', '022A07.JPG', '008A06.JPG']","['021', '040', '022', '008']","['6', '6', '7', '6']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
59,"['044A03.JPG', '015A01.JPG', '010A01.JPG', '069A02.JPG']","['044', '015', '010', '069']","['3', '1', '1', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
160,"['080A12.JPG', '031A16.JPG', '076A05.JPG', '031A07.JPG']","['080', '031', '076', '031']","['12', '16', '5', '7']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
110,"['024A18.JPG', '009A22a.JPG', '053A10.JPG', '035A09.JPG']","['024', '009', '053', '035']","['18', '22', '10', '9']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
183,"['045A17.JPG', '067A17.JPG', '015A14.JPG', '028A18.JPG']","['045', '067', '015', '028']","['17', '17', '14', '18']","['17-24', '17-24', '12-16', '17-24']","""17-24"""
37,"['004A37.JPG', '019A30.JPG', '007A22.JPG', '029A05.JPG']","['004', '019', '007', '029']","['37', '30', '22', '5']","['25-40', '25-40', '17-24', '04-11']","""25-40"""
189,"['011A30.JPG', '021A35.JPG', '004A19.JPG', '028A35.JPG']","['011', '021', '004', '028']","['30', '35', '19', '35']","['25-40', '25-40', '17-24', '25-40']","""25-40"""
90,"['006A42.JPG', '006A55.JPG', '074A08.JPG', '071A27.JPG']","['006', '006', '074', '071']","['42', '55', '8', '27']","['41+', '41+', '04-11', '25-40']","""41+"""
182,"['067A28.JPG', '022A26.JPG', '067A33.JPG', '001A19.JPG']","['067', '022', '067', '001']","['28', '26', '33', '19']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
107,"['033A02.JPG', '011A02.JPG', '051A02.JPG', '044A01.JPG']","['033', '011', '051', '044']","['2', '2', '2', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
68,"['025A22.JPG', '025A18.JPG', '016A12.JPG', '034A15.JPG']","['025', '025', '016', '034']","['22', '18', '12', '15']","['17-24', '17-24', '12-16', '12-16']","""17-24"""
35,"['024A00.JPG', '074A01.JPG', '023A00.JPG', '037A00.JPG']","['024', '074', '023', '037']","['0', '1', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
129,"['056A04.JPG', '015A04.JPG', '052A02.JPG', '053A06.JPG']","['056', '015', '052', '053']","['4', '4', '2', '6']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
193,"['017A36.JPG', '034A30.JPG', '007A37.JPG', '061A17.JPG']","['017', '034', '007', '061']","['36', '30', '37', '17']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
66,"['003A49.JPG', '003A58.JPG', '019A03.JPG', '060A04.JPG']","['003', '003', '019', '060']","['49', '58', '3', '4']","['41+', '41+', '00-03', '04-11']","""41+"""
30,"['004A63.JPG', '062A45.JPG', '028A26.JPG', '065A09.JPG']","['004', '062', '028', '065']","['63', '45', '26', '9']","['41+', '41+', '25-40', '04-11']","""41+"""
182,"['067A28.JPG', '022A26.JPG', '067A33.JPG', '001A19.JPG']","['067', '022', '067', '001']","['28', '26', '33', '19']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
131,"['052A20.JPG', '046A20.JPG', '055A22.JPG', '078A12.JPG']","['052', '046', '055', '078']","['20', '20', '22', '12']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
