,img_name,subject,age,age_group,age_group_bag
84,"['003A51.JPG', '062A54.JPG', '051A16.JPG', '022A14.JPG']","['003', '062', '051', '022']","['51', '54', '16', '14']","['41+', '41+', '12-16', '12-16']","""41+"""
25,"['023A25.JPG', '013A25.JPG', '048A10.JPG', '025A00.JPG']","['023', '013', '048', '025']","['25', '25', '10', '0']","['25-40', '25-40', '04-11', '00-03']","""25-40"""
90,"['013A41.JPG', '003A60.JPG', '021A35.JPG', '041A20.JPG']","['013', '003', '021', '041']","['41', '60', '35', '20']","['41+', '41+', '25-40', '17-24']","""41+"""
94,"['012A07.JPG', '036A06.JPG', '052A07.JPG', '051A08.JPG']","['012', '036', '052', '051']","['7', '6', '7', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
41,"['075A03.JPG', '058A02.JPG', '040A00.JPG', '058A03.JPG']","['075', '058', '040', '058']","['3', '2', '0', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
64,"['020A04.JPG', '063A04.JPG', '046A00.JPG', '024A10.JPG']","['020', '063', '046', '024']","['4', '4', '0', '10']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
127,"['067A28.JPG', '029A33.JPG', '029A20.JPG', '052A13.JPG']","['067', '029', '029', '052']","['28', '33', '20', '13']","['25-40', '25-40', '17-24', '12-16']","""25-40"""
45,"['077A14.JPG', '073A15.JPG', '050A10.JPG', '045A12.JPG']","['077', '073', '050', '045']","['14', '15', '10', '12']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
183,"['016A14.JPG', '039A13.JPG', '010A07a.JPG', '048A16.JPG']","['016', '039', '010', '048']","['14', '13', '7', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
110,"['024A23.JPG', '049A17.JPG', '005A18.JPG', '066A06b.JPG']","['024', '049', '005', '066']","['23', '17', '18', '6']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
19,"['022A30.JPG', '033A25.JPG', '038A13.JPG', '025A07.JPG']","['022', '033', '038', '025']","['30', '25', '13', '7']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
113,"['053A00.JPG', '073A01.JPG', '070A01.JPG', '050A00.JPG']","['053', '073', '070', '050']","['0', '1', '1', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
88,"['060A04.JPG', '081A11.JPG', '042A04.JPG', '051A00.JPG']","['060', '081', '042', '051']","['4', '11', '4', '0']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
65,"['002A03.JPG', '035A03.JPG', '080A00.JPG', '034A02.JPG']","['002', '035', '080', '034']","['3', '3', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
97,"['012A25.JPG', '062A30.JPG', '069A04.JPG', '047A11.JPG']","['012', '062', '069', '047']","['25', '30', '4', '11']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
72,"['006A42.JPG', '028A41.JPG', '078A04.JPG', '061A26.JPG']","['006', '028', '078', '061']","['42', '41', '4', '26']","['41+', '41+', '04-11', '25-40']","""41+"""
64,"['020A04.JPG', '063A04.JPG', '046A00.JPG', '024A10.JPG']","['020', '063', '046', '024']","['4', '4', '0', '10']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
116,"['012A24.JPG', '057A17.JPG', '030A05.JPG', '009A09.JPG']","['012', '057', '030', '009']","['24', '17', '5', '9']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
65,"['002A03.JPG', '035A03.JPG', '080A00.JPG', '034A02.JPG']","['002', '035', '080', '034']","['3', '3', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
38,"['002A23.JPG', '071A22.JPG', '026A04.JPG', '015A14.JPG']","['002', '071', '026', '015']","['23', '22', '4', '14']","['17-24', '17-24', '04-11', '12-16']","""17-24"""
168,"['069A05.JPG', '077A04.JPG', '060A08.JPG', '018A11.JPG']","['069', '077', '060', '018']","['5', '4', '8', '11']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
104,"['036A20.JPG', '041A21.JPG', '048A09.JPG', '069A07.JPG']","['036', '041', '048', '069']","['20', '21', '9', '7']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
189,"['028A34.JPG', '033A39.JPG', '021A30.JPG', '012A27.JPG']","['028', '033', '021', '012']","['34', '39', '30', '27']","['25-40', '25-40', '25-40', '25-40']","""25-40"""
64,"['020A04.JPG', '063A04.JPG', '046A00.JPG', '024A10.JPG']","['020', '063', '046', '024']","['4', '4', '0', '10']","['04-11', '04-11', '00-03', '04-11']","""04-11"""
102,"['027A41.JPG', '039A50.JPG', '046A12.JPG', '081A08.JPG']","['027', '039', '046', '081']","['41', '50', '12', '8']","['41+', '41+', '12-16', '04-11']","""41+"""
90,"['013A41.JPG', '003A60.JPG', '021A35.JPG', '041A20.JPG']","['013', '003', '021', '041']","['41', '60', '35', '20']","['41+', '41+', '25-40', '17-24']","""41+"""
105,"['038A14.JPG', '049A15.JPG', '074A01.JPG', '038A11.JPG']","['038', '049', '074', '038']","['14', '15', '1', '11']","['12-16', '12-16', '00-03', '04-11']","""12-16"""
51,"['055A14.JPG', '059A16.JPG', '009A13.JPG', '079A13.JPG']","['055', '059', '009', '079']","['14', '16', '13', '13']","['12-16', '12-16', '12-16', '12-16']","""12-16"""
117,"['077A13.JPG', '046A14.JPG', '069A11.JPG', '029A16.JPG']","['077', '046', '069', '029']","['13', '14', '11', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
108,"['003A61.JPG', '071A45.JPG', '067A26.JPG', '031A07.JPG']","['003', '071', '067', '031']","['61', '45', '26', '7']","['41+', '41+', '25-40', '04-11']","""41+"""
45,"['077A14.JPG', '073A15.JPG', '050A10.JPG', '045A12.JPG']","['077', '073', '050', '045']","['14', '15', '10', '12']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
23,"['037A02.JPG', '036A01.JPG', '042A00.JPG', '016A01.JPG']","['037', '036', '042', '016']","['2', '1', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
94,"['012A07.JPG', '036A06.JPG', '052A07.JPG', '051A08.JPG']","['012', '036', '052', '051']","['7', '6', '7', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
178,"['033A21.JPG', '002A18.JPG', '060A11.JPG', '060A19.JPG']","['033', '002', '060', '060']","['21', '18', '11', '19']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
145,"['045A25.JPG', '017A38.JPG', '015A19.JPG', '048A17.JPG']","['045', '017', '015', '048']","['25', '38', '19', '17']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
50,"['021A20.JPG', '017A22.JPG', '030A17.JPG', '010A10.JPG']","['021', '017', '030', '010']","['20', '22', '17', '10']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
23,"['037A02.JPG', '036A01.JPG', '042A00.JPG', '016A01.JPG']","['037', '036', '042', '016']","['2', '1', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
26,"['020A22.JPG', '072A19.JPG', '070A07.JPG', '037A08.JPG']","['020', '072', '070', '037']","['22', '19', '7', '8']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
147,"['014A16.JPG', '081A12.JPG', '068A13.JPG', '015A10.JPG']","['014', '081', '068', '015']","['16', '12', '13', '10']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
105,"['038A14.JPG', '049A15.JPG', '074A01.JPG', '038A11.JPG']","['038', '049', '074', '038']","['14', '15', '1', '11']","['12-16', '12-16', '00-03', '04-11']","""12-16"""
78,"['003A58.JPG', '071A43.JPG', '010A05.JPG', '011A11.JPG']","['003', '071', '010', '011']","['58', '43', '5', '11']","['41+', '41+', '04-11', '04-11']","""41+"""
195,"['004A28.JPG', '082A27.JPG', '047A27.JPG', '064A19.JPG']","['004', '082', '047', '064']","['28', '27', '27', '19']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
69,"['056A15.JPG', '016A16.JPG', '023A09.JPG', '023A00.JPG']","['056', '016', '023', '023']","['15', '16', '9', '0']","['12-16', '12-16', '04-11', '00-03']","""12-16"""
5,"['064A01.JPG', '075A02.JPG', '081A00.JPG', '019A03.JPG']","['064', '075', '081', '019']","['1', '2', '0', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
101,"['069A02.JPG', '031A03.JPG', '066A03.JPG', '029A01.JPG']","['069', '031', '066', '029']","['2', '3', '3', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
133,"['005A24.JPG', '060A17.JPG', '011A20.JPG', '082A16.JPG']","['005', '060', '011', '082']","['24', '17', '20', '16']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
169,"['006A31.JPG', '025A34.JPG', '001A33.JPG', '025A39.JPG']","['006', '025', '001', '025']","['31', '34', '33', '39']","['25-40', '25-40', '25-40', '25-40']","""25-40"""
115,"['012A32.JPG', '045A28.JPG', '071A18.JPG', '056A10.JPG']","['012', '045', '071', '056']","['32', '28', '18', '10']","['25-40', '25-40', '17-24', '04-11']","""25-40"""
19,"['022A30.JPG', '033A25.JPG', '038A13.JPG', '025A07.JPG']","['022', '033', '038', '025']","['30', '25', '13', '7']","['25-40', '25-40', '12-16', '04-11']","""25-40"""
176,"['035A09.JPG', '055A04.JPG', '077A09.JPG', '039A10.JPG']","['035', '055', '077', '039']","['9', '4', '9', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
99,"['051A15.JPG', '040A12.JPG', '066A06a.JPG', '078A10.JPG']","['051', '040', '066', '078']","['15', '12', '6', '10']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
107,"['075A01.JPG', '037A01.JPG', '051A02.JPG', '077A02.JPG']","['075', '037', '051', '077']","['1', '1', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
0,"['005A49.JPG', '033A44.JPG', '060A20.JPG', '020A24.JPG']","['005', '033', '060', '020']","['49', '44', '20', '24']","['41+', '41+', '17-24', '17-24']","""41+"""
78,"['003A58.JPG', '071A43.JPG', '010A05.JPG', '011A11.JPG']","['003', '071', '010', '011']","['58', '43', '5', '11']","['41+', '41+', '04-11', '04-11']","""41+"""
158,"['030A20.JPG', '055A23.JPG', '025A19.JPG', '007A22.JPG']","['030', '055', '025', '007']","['20', '23', '19', '22']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
139,"['074A14.JPG', '076A16.JPG', '012A12.JPG', '074A04.JPG']","['074', '076', '012', '074']","['14', '16', '12', '4']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
107,"['075A01.JPG', '037A01.JPG', '051A02.JPG', '077A02.JPG']","['075', '037', '051', '077']","['1', '1', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
29,"['041A00.JPG', '044A03.JPG', '014A03.JPG', '069A03.JPG']","['041', '044', '014', '069']","['0', '3', '3', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
89,"['019A00.JPG', '066A00.JPG', '081A03.JPG', '046A02.JPG']","['019', '066', '081', '046']","['0', '0', '3', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
33,"['077A16.JPG', '078A13.JPG', '043A00.JPG', '073A03.JPG']","['077', '078', '043', '073']","['16', '13', '0', '3']","['12-16', '12-16', '00-03', '00-03']","""12-16"""
145,"['045A25.JPG', '017A38.JPG', '015A19.JPG', '048A17.JPG']","['045', '017', '015', '048']","['25', '38', '19', '17']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
48,"['045A43.JPG', '071A42.JPG', '053A03.JPG', '042A24.JPG']","['045', '071', '053', '042']","['43', '42', '3', '24']","['41+', '41+', '00-03', '17-24']","""41+"""
170,"['004A19.JPG', '054A17.JPG', '035A18.JPG', '009A18.JPG']","['004', '054', '035', '009']","['19', '17', '18', '18']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
195,"['004A28.JPG', '082A27.JPG', '047A27.JPG', '064A19.JPG']","['004', '082', '047', '064']","['28', '27', '27', '19']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
66,"['008A41.JPG', '072A45.JPG', '072A11.JPG', '011A27.JPG']","['008', '072', '072', '011']","['41', '45', '11', '27']","['41+', '41+', '04-11', '25-40']","""41+"""
172,"['049A10.JPG', '066A10.JPG', '035A08.JPG', '026A11.JPG']","['049', '066', '035', '026']","['10', '10', '8', '11']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
100,"['008A06.JPG', '044A05.JPG', '073A04.JPG', '012A04.JPG']","['008', '044', '073', '012']","['6', '5', '4', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
117,"['077A13.JPG', '046A14.JPG', '069A11.JPG', '029A16.JPG']","['077', '046', '069', '029']","['13', '14', '11', '16']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
82,"['079A04.JPG', '040A06.JPG', '038A08.JPG', '073A07.JPG']","['079', '040', '038', '073']","['4', '6', '8', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
145,"['045A25.JPG', '017A38.JPG', '015A19.JPG', '048A17.JPG']","['045', '017', '015', '048']","['25', '38', '19', '17']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
114,"['048A49.JPG', '005A48.JPG', '032A40.JPG', '047A13.JPG']","['048', '005', '032', '047']","['49', '48', '40', '13']","['41+', '41+', '25-40', '12-16']","""41+"""
124,"['057A06.JPG', '037A06.JPG', '064A04.JPG', '078A05.JPG']","['057', '037', '064', '078']","['6', '6', '4', '5']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
120,"['013A44.JPG', '003A47.JPG', '008A03.JPG', '017A29.JPG']","['013', '003', '008', '017']","['44', '47', '3', '29']","['41+', '41+', '00-03', '25-40']","""41+"""
108,"['003A61.JPG', '071A45.JPG', '067A26.JPG', '031A07.JPG']","['003', '071', '067', '031']","['61', '45', '26', '7']","['41+', '41+', '25-40', '04-11']","""41+"""
75,"['011A15.JPG', '044A15.JPG', '061A10.JPG', '010A12.JPG']","['011', '044', '061', '010']","['15', '15', '10', '12']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
54,"['006A55.JPG', '034A44.JPG', '045A08.JPG', '073A09.JPG']","['006', '034', '045', '073']","['55', '44', '8', '9']","['41+', '41+', '04-11', '04-11']","""41+"""
83,"['042A01.JPG', '082A00.JPG', '022A00.JPG', '081A01.JPG']","['042', '082', '022', '081']","['1', '0', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
116,"['012A24.JPG', '057A17.JPG', '030A05.JPG', '009A09.JPG']","['012', '057', '030', '009']","['24', '17', '5', '9']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
125,"['076A01.JPG', '033A02.JPG', '076A02.JPG', '058A01.JPG']","['076', '033', '076', '058']","['1', '2', '2', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
96,"['039A52.JPG', '007A45.JPG', '062A16.JPG', '041A24.JPG']","['039', '007', '062', '041']","['52', '45', '16', '24']","['41+', '41+', '12-16', '17-24']","""41+"""
