,img_name,subject,age,age_group,age_group_bag
52,"['047A11.JPG', '048A11.JPG', '065A07b.JPG', '078A06.JPG']","['047', '048', '065', '078']","['11', '11', '7', '6']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
141,"['072A21.JPG', '063A18.JPG', '038A17.JPG', '015A19.JPG']","['072', '063', '038', '015']","['21', '18', '17', '19']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
70,"['054A09.JPG', '066A06a.JPG', '058A10.JPG', '002A04.JPG']","['054', '066', '058', '002']","['9', '6', '10', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
5,"['079A00.JPG', '009A00.JPG', '071A00.JPG', '001A02.JPG']","['079', '009', '071', '001']","['0', '0', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
98,"['023A21.JPG', '020A22.JPG', '007A01.JPG', '057A12.JPG']","['023', '020', '007', '057']","['21', '22', '1', '12']","['17-24', '17-24', '00-03', '12-16']","""17-24"""
144,"['017A36.JPG', '048A33.JPG', '044A25.JPG', '015A15.JPG']","['017', '048', '044', '015']","['36', '33', '25', '15']","['25-40', '25-40', '25-40', '12-16']","""25-40"""
113,"['058A03.JPG', '002A03.JPG', '076A00.JPG', '022A00.JPG']","['058', '002', '076', '022']","['3', '3', '0', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
189,"['013A21.JPG', '002A21.JPG', '024A23.JPG', '002A20.JPG']","['013', '002', '024', '002']","['21', '21', '23', '20']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
53,"['057A00.JPG', '069A00.JPG', '036A00.JPG', '029A01.JPG']","['057', '069', '036', '029']","['0', '0', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
48,"['005A48.JPG', '072A41.JPG', '070A05.JPG', '011A13.JPG']","['005', '072', '070', '011']","['48', '41', '5', '13']","['41+', '41+', '04-11', '12-16']","""41+"""
33,"['059A16.JPG', '026A13.JPG', '077A13.JPG', '047A09.JPG']","['059', '026', '077', '047']","['16', '13', '13', '9']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
134,"['068A13.JPG', '040A12.JPG', '015A12.JPG', '045A06.JPG']","['068', '040', '015', '045']","['13', '12', '12', '6']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
15,"['039A16.JPG', '051A12.JPG', '074A12.JPG', '078A11.JPG']","['039', '051', '074', '078']","['16', '12', '12', '11']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
152,"['006A28.JPG', '023A29.JPG', '036A05.JPG', '008A18.JPG']","['006', '023', '036', '008']","['28', '29', '5', '18']","['25-40', '25-40', '04-11', '17-24']","""25-40"""
6,"['048A54.JPG', '013A44.JPG', '009A11.JPG', '016A03.JPG']","['048', '013', '009', '016']","['54', '44', '11', '3']","['41+', '41+', '04-11', '00-03']","""41+"""
188,"['045A40.JPG', '006A36.JPG', '049A17.JPG', '007A18.JPG']","['045', '006', '049', '007']","['40', '36', '17', '18']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
119,"['046A01.JPG', '074A01.JPG', '070A03.JPG', '040A03b.JPG']","['046', '074', '070', '040']","['1', '1', '3', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
25,"['008A30.JPG', '038A34.JPG', '068A10b.JPG', '073A12.JPG']","['008', '038', '068', '073']","['30', '34', '10', '12']","['25-40', '25-40', '04-11', '12-16']","""25-40"""
176,"['071A35.JPG', '004A28.JPG', '002A29.JPG', '062A35.JPG']","['071', '004', '002', '062']","['35', '28', '29', '35']","['25-40', '25-40', '25-40', '25-40']","""25-40"""
59,"['066A03.JPG', '068A00.JPG', '076A01.JPG', '052A02.JPG']","['066', '068', '076', '052']","['3', '0', '1', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
94,"['069A05.JPG', '081A07.JPG', '079A05.JPG', '057A06.JPG']","['069', '081', '079', '057']","['5', '7', '5', '6']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
40,"['081A06.JPG', '010A05.JPG', '038A11.JPG', '065A02a.JPG']","['081', '010', '038', '065']","['6', '5', '11', '2']","['04-11', '04-11', '04-11', '00-03']","""04-11"""
189,"['013A21.JPG', '002A21.JPG', '024A23.JPG', '002A20.JPG']","['013', '002', '024', '002']","['21', '21', '23', '20']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
30,"['006A69.JPG', '071A44.JPG', '023A00.JPG', '039A07.JPG']","['006', '071', '023', '039']","['69', '44', '0', '7']","['41+', '41+', '00-03', '04-11']","""41+"""
38,"['043A17.JPG', '011A17.JPG', '008A12.JPG', '010A10.JPG']","['043', '011', '008', '010']","['17', '17', '12', '10']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
53,"['057A00.JPG', '069A00.JPG', '036A00.JPG', '029A01.JPG']","['057', '069', '036', '029']","['0', '0', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
11,"['034A02.JPG', '082A03.JPG', '013A00.JPG', '054A02.JPG']","['034', '082', '013', '054']","['2', '3', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
47,"['065A02b.JPG', '065A03b.JPG', '036A01.JPG', '030A00.JPG']","['065', '065', '036', '030']","['2', '3', '1', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
138,"['051A15.JPG', '027A13.JPG', '008A06.JPG', '046A12.JPG']","['051', '027', '008', '046']","['15', '13', '6', '12']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
123,"['025A12.JPG', '064A15.JPG', '069A11.JPG', '072A11.JPG']","['025', '064', '069', '072']","['12', '15', '11', '11']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
172,"['071A27.JPG', '072A29.JPG', '045A08.JPG', '037A08.JPG']","['071', '072', '045', '037']","['27', '29', '8', '8']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
66,"['039A50.JPG', '071A43.JPG', '020A02.JPG', '012A23.JPG']","['039', '071', '020', '012']","['50', '43', '2', '23']","['41+', '41+', '00-03', '17-24']","""41+"""
83,"['053A03.JPG', '079A01.JPG', '059A02b.JPG', '059A02a.JPG']","['053', '079', '059', '059']","['3', '1', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
56,"['021A23.JPG', '067A17.JPG', '078A00.JPG', '026A04.JPG']","['021', '067', '078', '026']","['23', '17', '0', '4']","['17-24', '17-24', '00-03', '04-11']","""17-24"""
27,"['048A16.JPG', '077A12.JPG', '035A08.JPG', '002A12.JPG']","['048', '077', '035', '002']","['16', '12', '8', '12']","['12-16', '12-16', '04-11', '12-16']","""12-16"""
114,"['006A55.JPG', '001A43b.JPG', '013A30.JPG', '012A24.JPG']","['006', '001', '013', '012']","['55', '43', '30', '24']","['41+', '41+', '25-40', '17-24']","""41+"""
80,"['036A19.JPG', '062A18.JPG', '031A07.JPG', '032A06.JPG']","['036', '062', '031', '032']","['19', '18', '7', '6']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
141,"['072A21.JPG', '063A18.JPG', '038A17.JPG', '015A19.JPG']","['072', '063', '038', '015']","['21', '18', '17', '19']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
24,"['005A61.JPG', '048A52.JPG', '022A16.JPG', '068A10a.JPG']","['005', '048', '022', '068']","['61', '52', '16', '10']","['41+', '41+', '12-16', '04-11']","""41+"""
54,"['005A52.JPG', '033A44.JPG', '045A19.JPG', '018A36.JPG']","['005', '033', '045', '018']","['52', '44', '19', '36']","['41+', '41+', '17-24', '25-40']","""41+"""
74,"['045A17.JPG', '067A23.JPG', '067A14.JPG', '009A18.JPG']","['045', '067', '067', '009']","['17', '23', '14', '18']","['17-24', '17-24', '12-16', '17-24']","""17-24"""
171,"['035A05.JPG', '026A06.JPG', '026A11.JPG', '076A11.JPG']","['035', '026', '026', '076']","['5', '6', '11', '11']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
118,"['074A04.JPG', '050A10.JPG', '012A07.JPG', '065A04.JPG']","['074', '050', '012', '065']","['4', '10', '7', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
60,"['045A43.JPG', '006A61.JPG', '001A05.JPG', '063A09.JPG']","['045', '006', '001', '063']","['43', '61', '5', '9']","['41+', '41+', '04-11', '04-11']","""41+"""
95,"['077A01.JPG', '010A01.JPG', '043A03.JPG', '080A03.JPG']","['077', '010', '043', '080']","['1', '1', '3', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
53,"['057A00.JPG', '069A00.JPG', '036A00.JPG', '029A01.JPG']","['057', '069', '036', '029']","['0', '0', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
104,"['032A18.JPG', '061A19.JPG', '040A16.JPG', '024A10.JPG']","['032', '061', '040', '024']","['18', '19', '16', '10']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
3,"['068A12.JPG', '031A14.JPG', '020A13.JPG', '077A06.JPG']","['068', '031', '020', '077']","['12', '14', '13', '6']","['12-16', '12-16', '12-16', '04-11']","""12-16"""
182,"['052A16.JPG', '017A12.JPG', '030A04.JPG', '071A10.JPG']","['052', '017', '030', '071']","['16', '12', '4', '10']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
