,img_name,subject,age,age_group,age_group_bag
178,"['042A28.JPG', '018A28.JPG', '025A39.JPG', '028A16.JPG']","['042', '018', '025', '028']","['28', '28', '39', '16']","['25-40', '25-40', '25-40', '12-16']","""25-40"""
174,"['001A28.JPG', '020A30.JPG', '034A21.JPG', '008A18.JPG']","['001', '020', '034', '008']","['28', '30', '21', '18']","['25-40', '25-40', '17-24', '17-24']","""25-40"""
108,"['033A44.JPG', '071A43.JPG', '059A14.JPG', '012A07.JPG']","['033', '071', '059', '012']","['44', '43', '14', '7']","['41+', '41+', '12-16', '04-11']","""41+"""
167,"['003A18.JPG', '018A22.JPG', '060A17.JPG', '033A05.JPG']","['003', '018', '060', '033']","['18', '22', '17', '5']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
29,"['053A01.JPG', '008A03.JPG', '079A03.JPG', '058A00.JPG']","['053', '008', '079', '058']","['1', '3', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
57,"['017A15.JPG', '031A15.JPG', '001A16.JPG', '036A00.JPG']","['017', '031', '001', '036']","['15', '15', '16', '0']","['12-16', '12-16', '12-16', '00-03']","""12-16"""
181,"['039A05.JPG', '060A04.JPG', '019A05.JPG', '038A11.JPG']","['039', '060', '019', '038']","['5', '4', '5', '11']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
145,"['029A05.JPG', '009A05.JPG', '066A07.JPG', '057A07.JPG']","['029', '009', '066', '057']","['5', '5', '7', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
166,"['004A30.JPG', '048A30.JPG', '072A27.JPG', '002A18.JPG']","['004', '048', '072', '002']","['30', '30', '27', '18']","['25-40', '25-40', '25-40', '17-24']","""25-40"""
151,"['057A17.JPG', '067A17.JPG', '026A13.JPG', '031A07.JPG']","['057', '067', '026', '031']","['17', '17', '13', '7']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
41,"['015A00.JPG', '078A01.JPG', '073A03.JPG', '026A00.JPG']","['015', '078', '073', '026']","['0', '1', '3', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
150,"['018A25.JPG', '034A25.JPG', '051A17.JPG', '014A12.JPG']","['018', '034', '051', '014']","['25', '25', '17', '12']","['25-40', '25-40', '17-24', '12-16']","""25-40"""
151,"['057A17.JPG', '067A17.JPG', '026A13.JPG', '031A07.JPG']","['057', '067', '026', '031']","['17', '17', '13', '7']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
169,"['073A06.JPG', '024A10.JPG', '065A06a.JPG', '052A10.JPG']","['073', '024', '065', '052']","['6', '10', '6', '10']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
54,"['006A51.JPG', '027A41.JPG', '016A05.JPG', '040A21.JPG']","['006', '027', '016', '040']","['51', '41', '5', '21']","['41+', '41+', '04-11', '17-24']","""41+"""
130,"['037A11.JPG', '049A07.JPG', '077A06.JPG', '010A05.JPG']","['037', '049', '077', '010']","['11', '7', '6', '5']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
76,"['041A06.JPG', '008A08.JPG', '066A08.JPG', '015A05.JPG']","['041', '008', '066', '015']","['6', '8', '8', '5']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
24,"['048A54.JPG', '006A55.JPG', '021A30.JPG', '036A20.JPG']","['048', '006', '021', '036']","['54', '55', '30', '20']","['41+', '41+', '25-40', '17-24']","""41+"""
153,"['070A06.JPG', '034A11.JPG', '077A07.JPG', '037A08.JPG']","['070', '034', '077', '037']","['6', '11', '7', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
70,"['041A09.JPG', '069A07.JPG', '065A06b.JPG', '015A04.JPG']","['041', '069', '065', '015']","['9', '7', '6', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
171,"['029A23.JPG', '036A19.JPG', '055A23.JPG', '041A24.JPG']","['029', '036', '055', '041']","['23', '19', '23', '24']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
18,"['001A43a.JPG', '008A41.JPG', '009A13.JPG', '077A00.JPG']","['001', '008', '009', '077']","['43', '41', '13', '0']","['41+', '41+', '12-16', '00-03']","""41+"""
