,img_name,subject,age,age_group,age_group_bag
66,"['071A43.JPG', '071A42.JPG', '034A02.JPG', '075A11.JPG']","['071', '071', '034', '075']","['43', '42', '2', '11']","['41+', '41+', '00-03', '04-11']","""41+"""
140,"['008A21.JPG', '013A18.JPG', '004A21.JPG', '073A08.JPG']","['008', '013', '004', '073']","['21', '18', '21', '8']","['17-24', '17-24', '17-24', '04-11']","""17-24"""
94,"['020A04.JPG', '030A07.JPG', '071A10.JPG', '038A04.JPG']","['020', '030', '071', '038']","['4', '7', '10', '4']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
59,"['046A01.JPG', '066A03.JPG', '058A00.JPG', '070A01.JPG']","['046', '066', '058', '070']","['1', '3', '0', '1']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
180,"['021A23.JPG', '017A19.JPG', '077A06.JPG', '014A22.JPG']","['021', '017', '077', '014']","['23', '19', '6', '22']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
68,"['043A17.JPG', '071A23.JPG', '053A04.JPG', '029A20.JPG']","['043', '071', '053', '029']","['17', '23', '4', '20']","['17-24', '17-24', '04-11', '17-24']","""17-24"""
114,"['045A48.JPG', '001A43a.JPG', '031A19.JPG', '067A39.JPG']","['045', '001', '031', '067']","['48', '43', '19', '39']","['41+', '41+', '17-24', '25-40']","""41+"""
117,"['051A14.JPG', '017A12.JPG', '060A08.JPG', '066A11.JPG']","['051', '017', '060', '066']","['14', '12', '8', '11']","['12-16', '12-16', '04-11', '04-11']","""12-16"""
164,"['049A17.JPG', '002A21.JPG', '054A17.JPG', '052A13.JPG']","['049', '002', '054', '052']","['17', '21', '17', '13']","['17-24', '17-24', '17-24', '12-16']","""17-24"""
178,"['076A08.JPG', '047A11.JPG', '079A05.JPG', '079A08.JPG']","['076', '047', '079', '079']","['8', '11', '5', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
23,"['066A02b.JPG', '030A00.JPG', '070A00.JPG', '065A03a.JPG']","['066', '030', '070', '065']","['2', '0', '0', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
154,"['077A04.JPG', '029A05.JPG', '059A04.JPG', '074A05.JPG']","['077', '029', '059', '074']","['4', '5', '4', '5']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
