,img_name,subject,age,age_group,age_group_bag
66,"['028A41.JPG', '001A43b.JPG', '038A14.JPG', '033A18.JPG']","['028', '001', '038', '033']","['41', '43', '14', '18']","['41+', '41+', '12-16', '17-24']","""41+"""
27,"['008A16.JPG', '025A15.JPG', '001A16.JPG', '054A00.JPG']","['008', '025', '001', '054']","['16', '15', '16', '0']","['12-16', '12-16', '12-16', '00-03']","""12-16"""
119,"['081A02.JPG', '040A02.JPG', '033A02.JPG', '038A00.JPG']","['081', '040', '033', '038']","['2', '2', '2', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
24,"['006A46.JPG', '006A42.JPG', '034A30.JPG', '013A25.JPG']","['006', '006', '034', '013']","['46', '42', '30', '25']","['41+', '41+', '25-40', '25-40']","""41+"""
90,"['004A51.JPG', '005A48.JPG', '014A12.JPG', '062A45.JPG']","['004', '005', '014', '062']","['51', '48', '12', '45']","['41+', '41+', '12-16', '41+']","""41+"""
83,"['071A00.JPG', '075A02.JPG', '070A02.JPG', '015A03.JPG']","['071', '075', '070', '015']","['0', '2', '2', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
112,"['022A11.JPG', '065A06b.JPG', '055A05.JPG', '036A08.JPG']","['022', '065', '055', '036']","['11', '6', '5', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
130,"['058A04.JPG', '064A04.JPG', '029A04.JPG', '013A08.JPG']","['058', '064', '029', '013']","['4', '4', '4', '8']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
65,"['041A00.JPG', '063A02.JPG', '036A01.JPG', '059A03.JPG']","['041', '063', '036', '059']","['0', '2', '1', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
66,"['028A41.JPG', '001A43b.JPG', '038A14.JPG', '033A18.JPG']","['028', '001', '038', '033']","['41', '43', '14', '18']","['41+', '41+', '12-16', '17-24']","""41+"""
23,"['059A02b.JPG', '024A00.JPG', '056A01.JPG', '080A02.JPG']","['059', '024', '056', '080']","['2', '0', '1', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
115,"['028A26.JPG', '020A36.JPG', '060A10.JPG', '078A08.JPG']","['028', '020', '060', '078']","['26', '36', '10', '8']","['25-40', '25-40', '04-11', '04-11']","""25-40"""
119,"['081A02.JPG', '040A02.JPG', '033A02.JPG', '038A00.JPG']","['081', '040', '033', '038']","['2', '2', '2', '0']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
177,"['071A23.JPG', '036A19.JPG', '041A24.JPG', '033A21.JPG']","['071', '036', '041', '033']","['23', '19', '24', '21']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
172,"['008A31.JPG', '034A39.JPG', '053A10.JPG', '057A12.JPG']","['008', '034', '053', '057']","['31', '39', '10', '12']","['25-40', '25-40', '04-11', '12-16']","""25-40"""
36,"['006A61.JPG', '039A45.JPG', '077A07.JPG', '067A14.JPG']","['006', '039', '077', '067']","['61', '45', '7', '14']","['41+', '41+', '04-11', '12-16']","""41+"""
104,"['005A18.JPG', '023A22.JPG', '049A12.JPG', '041A04.JPG']","['005', '023', '049', '041']","['18', '22', '12', '4']","['17-24', '17-24', '12-16', '04-11']","""17-24"""
10,"['019A07.JPG', '054A10.JPG', '031A09.JPG', '040A05.JPG']","['019', '054', '031', '040']","['7', '10', '9', '5']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
145,"['021A18.JPG', '047A23.JPG', '016A17.JPG', '027A20.JPG']","['021', '047', '016', '027']","['18', '23', '17', '20']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
