,img_name,subject,age,age_group,age_group_bag
126,"['006A46.JPG', '034A44.JPG', '034A25.JPG', '081A11.JPG']","['006', '034', '034', '081']","['46', '44', '25', '11']","['41+', '41+', '25-40', '04-11']","""41+"""
95,"['054A02.JPG', '024A00.JPG', '075A01.JPG', '015A03.JPG']","['054', '024', '075', '015']","['2', '0', '1', '3']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
105,"['062A16.JPG', '043A13.JPG', '054A16.JPG', '078A13.JPG']","['062', '043', '054', '078']","['16', '13', '16', '13']","['12-16', '12-16', '12-16', '12-16']","""12-16"""
124,"['042A05.JPG', '026A11.JPG', '034A04.JPG', '031A07.JPG']","['042', '026', '034', '031']","['5', '11', '4', '7']","['04-11', '04-11', '04-11', '04-11']","""04-11"""
168,"['063A33.JPG', '013A34.JPG', '055A08.JPG', '032A28.JPG']","['063', '013', '055', '032']","['33', '34', '8', '28']","['25-40', '25-40', '04-11', '25-40']","""25-40"""
74,"['042A24.JPG', '027A20.JPG', '078A05.JPG', '076A11.JPG']","['042', '027', '078', '076']","['24', '20', '5', '11']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
89,"['066A03.JPG', '058A01.JPG', '073A02.JPG', '037A02.JPG']","['066', '058', '073', '037']","['3', '1', '2', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
41,"['041A02.JPG', '021A03.JPG', '080A00.JPG', '046A02.JPG']","['041', '021', '080', '046']","['2', '3', '0', '2']","['00-03', '00-03', '00-03', '00-03']","""00-03"""
8,"['034A21.JPG', '052A18.JPG', '020A22.JPG', '023A22.JPG']","['034', '052', '020', '023']","['21', '18', '22', '22']","['17-24', '17-24', '17-24', '17-24']","""17-24"""
169,"['029A22.JPG', '045A17.JPG', '077A06.JPG', '033A10.JPG']","['029', '045', '077', '033']","['22', '17', '6', '10']","['17-24', '17-24', '04-11', '04-11']","""17-24"""
